idx	word	count	avg_attr	std_attr	avg_pred
0	word	1	1.0	0.0	1.0
1	vandalized	1	1.0	0.0	1.0
2	unessential	1	1.0	0.0	1.0
3	unattractive	1	1.0	0.0	1.0
4	twisted	1	1.0	0.0	1.0
5	swerve	1	1.0	0.0	1.0
6	stank	1	1.0	0.0	1.0
7	slimebag	1	1.0	0.0	1.0
8	skank	1	1.0	0.0	1.0
9	silence=complicity	1	1.0	0.0	1.0
10	shitted	1	1.0	0.0	1.0
11	screwed	1	1.0	0.0	1.0
12	ratchet	1	1.0	0.0	1.0
13	raging	1	1.0	0.0	1.0
14	quit	1	1.0	0.0	1.0
15	pussies	1	1.0	0.0	1.0
16	pig	1	1.0	0.0	1.0
17	parent	1	1.0	0.0	1.0
18	onstop	1	1.0	0.0	1.0
19	needy	1	1.0	0.0	1.0
20	mucking	1	1.0	0.0	1.0
21	mosquito	1	1.0	0.0	1.0
22	mistrust	1	1.0	0.0	1.0
23	misleading	1	1.0	0.0	1.0
24	miserable	1	1.0	0.0	1.0
25	lackluster	1	1.0	0.0	1.0
26	insult	2	1.0	0.0	1.0
27	hurl	1	1.0	0.0	1.0
28	hells	1	1.0	0.0	1.0
29	furious	1	1.0	0.0	1.0
30	fuckedthis	1	1.0	0.0	1.0
31	feckin'	1	1.0	0.0	1.0
32	fckn	1	1.0	0.0	1.0
33	fake	1	1.0	0.0	1.0
34	disappointing	1	1.0	0.0	1.0
35	dashed	1	1.0	0.0	1.0
36	cunts	1	1.0	0.0	1.0
37	crap	1	1.0	0.0	1.0
38	coward	1	1.0	0.0	1.0
39	cowan	1	1.0	0.0	1.0
40	bully	1	1.0	0.0	1.0
41	bites	1	1.0	0.0	1.0
42	beggin'	1	1.0	0.0	1.0
43	a~hole	1	1.0	0.0	1.0
44	awful	2	1.0	0.0	1.0
45	asshole	1	1.0	0.0	1.0
46	annoyed	1	1.0	0.0	1.0
47	angry	1	1.0	0.0	1.0
48	6000	1	1.0	0.0	1.0
49	#woke	1	1.0	0.0	1.0
50	#victimhood	1	1.0	0.0	1.0
51	#unhappy	1	1.0	0.0	1.0
52	#troublemaker	1	1.0	0.0	1.0
53	#shocking	1	1.0	0.0	1.0
54	#racism	1	1.0	0.0	1.0
55	#outrage	1	1.0	0.0	1.0
56	#nightmare	1	1.0	0.0	1.0
57	#fuming	1	1.0	0.0	1.0
58	#discouraged	1	1.0	0.0	1.0
59	#bitter	1	1.0	0.0	1.0
60	#awful	1	1.0	0.0	1.0
61	#arsehole	1	1.0	0.0	1.0
62	#antifasupporter	1	1.0	0.0	1.0
63	#10thingsthatgetsonmynerves	1	1.0	0.0	1.0
64	nasty	2	0.83335	0.16665000000000002	1.0
65	smashed	3	0.7778	0.15711912677965087	1.0
66	#hatred	3	0.7777666666666666	0.31428539401138084	1.0
67	would've	1	0.6667	0.0	1.0
68	whine	1	0.6667	0.0	1.0
69	urself	1	0.6667	0.0	1.0
70	unsentimental	1	0.6667	0.0	1.0
71	unnecessary	1	0.6667	0.0	1.0
72	unemotional	1	0.6667	0.0	1.0
73	unclassifiably	1	0.6667	0.0	1.0
74	trash	1	0.6667	0.0	1.0
75	trams	1	0.6667	0.0	1.0
76	toe	1	0.6667	0.0	1.0
77	thrown	1	0.6667	0.0	1.0
78	therapy	1	0.6667	0.0	1.0
79	tactics	1	0.6667	0.0	1.0
80	suit	1	0.6667	0.0	1.0
81	stupid	1	0.6667	0.0	1.0
82	stop	2	0.6667	0.0	1.0
83	sliced	1	0.6667	0.0	1.0
84	skinny	1	0.6667	0.0	1.0
85	six	1	0.6667	0.0	1.0
86	sideline	1	0.6667	0.0	1.0
87	shoot	1	0.6667	0.0	1.0
88	shaming	1	0.6667	0.0	1.0
89	shameless	1	0.6667	0.0	1.0
90	sham	1	0.6667	0.0	1.0
91	separate	1	0.6667	0.0	1.0
92	screaming	1	0.6667	0.0	1.0
93	ruining	1	0.6667	0.0	1.0
94	ruin	1	0.6667	0.0	1.0
95	robbery	1	0.6667	0.0	1.0
96	reverted	1	0.6667	0.0	1.0
97	rejected	1	0.6667	0.0	1.0
98	re-closed	1	0.6667	0.0	1.0
99	predictable	1	0.6667	0.0	1.0
100	paybacks	1	0.6667	0.0	1.0
101	pathetic	1	0.6667	0.0	1.0
102	nailedive	1	0.6667	0.0	1.0
103	nail	1	0.6667	0.0	1.0
104	monotonous	1	0.6667	0.0	1.0
105	misogynistic	1	0.6667	0.0	1.0
106	memes	1	0.6667	0.0	1.0
107	mediocre	1	0.6667	0.0	1.0
108	lie	1	0.6667	0.0	1.0
109	lacking	1	0.6667	0.0	1.0
110	kidding	1	0.6667	0.0	1.0
111	jewis	1	0.6667	0.0	1.0
112	influence	1	0.6667	0.0	1.0
113	imprinted	1	0.6667	0.0	1.0
114	imagine	1	0.6667	0.0	1.0
115	illness	1	0.6667	0.0	1.0
116	idiot	1	0.6667	0.0	1.0
117	hostility	1	0.6667	0.0	1.0
118	hidden	1	0.6667	0.0	1.0
119	helll	1	0.6667	0.0	1.0
120	headsmack	1	0.6667	0.0	1.0
121	headache	1	0.6667	0.0	1.0
122	half-hearted	1	0.6667	0.0	1.0
123	half-formed	1	0.6667	0.0	1.0
124	grudge	1	0.6667	0.0	1.0
125	goddamn	1	0.6667	0.0	1.0
126	glitches	1	0.6667	0.0	1.0
127	girls&#8221	1	0.6667	0.0	1.0
128	fuckin'	1	0.6667	0.0	1.0
129	frustration	1	0.6667	0.0	1.0
130	frigging	1	0.6667	0.0	1.0
131	faker	1	0.6667	0.0	1.0
132	faggot	1	0.6667	0.0	1.0
133	facts	1	0.6667	0.0	1.0
134	ex	1	0.6667	0.0	1.0
135	endurance	1	0.6667	0.0	1.0
136	elements	1	0.6667	0.0	1.0
137	dyyyying	1	0.6667	0.0	1.0
138	dying	1	0.6667	0.0	1.0
139	driven	1	0.6667	0.0	1.0
140	displeasure	1	0.6667	0.0	1.0
141	dicks	1	0.6667	0.0	1.0
142	detriment	1	0.6667	0.0	1.0
143	depressing	1	0.6667	0.0	1.0
144	deaf	1	0.6667	0.0	1.0
145	cracker	1	0.6667	0.0	1.0
146	cos	1	0.6667	0.0	1.0
147	conscience	1	0.6667	0.0	1.0
148	coming	1	0.6667	0.0	1.0
149	comedian	1	0.6667	0.0	1.0
150	cliche	1	0.6667	0.0	1.0
151	claiming	1	0.6667	0.0	1.0
152	calculated	1	0.6667	0.0	1.0
153	brutally	1	0.6667	0.0	1.0
154	bozo	1	0.6667	0.0	1.0
155	bliss-less	1	0.6667	0.0	1.0
156	audience-abuse	1	0.6667	0.0	1.0
157	astounded	1	0.6667	0.0	1.0
158	arrogant	1	0.6667	0.0	1.0
159	alive	1	0.6667	0.0	1.0
160	alarming	1	0.6667	0.0	1.0
161	agenda	1	0.6667	0.0	1.0
162	'missing'	1	0.6667	0.0	1.0
163	'meancare'	1	0.6667	0.0	1.0
164	''please''	1	0.6667	0.0	1.0
165	#upset	1	0.6667	0.0	1.0
166	#unwell	1	0.6667	0.0	1.0
167	#terrorism	1	0.6667	0.0	1.0
168	#tantrums	1	0.6667	0.0	1.0
169	#radicalislam	1	0.6667	0.0	1.0
170	#paranoia	1	0.6667	0.0	1.0
171	#offended	1	0.6667	0.0	1.0
172	#liar	1	0.6667	0.0	1.0
173	#innacurate	1	0.6667	0.0	1.0
174	#horrific	2	0.6667	0.0	1.0
175	#hipocrite	1	0.6667	0.0	1.0
176	#fakefan	1	0.6667	0.0	1.0
177	#dissapointed	1	0.6667	0.0	1.0
178	#annoyed	1	0.6667	0.0	1.0
179	fuck	6	0.6666666666666666	0.27217913627282714	1.0
180	dumb	3	0.6666666666666666	0.27217913627282714	1.0
181	stand	2	0.66665	0.33335000000000004	1.0
182	horrific	2	0.66665	0.33335000000000004	1.0
183	egregious	2	0.66665	0.33335000000000004	1.0
184	disappointed	2	0.66665	0.33335000000000004	1.0
185	absolutely	2	0.66665	0.33335000000000004	1.0
186	#dreadful	2	0.66665	0.33335000000000004	1.0
187	worst	4	0.583325	0.2764029881803017	1.0
188	cunt	4	0.583325	0.27640298818030173	1.0
189	horrible	3	0.5555666666666667	0.15716626723172994	1.0
190	bitches	11	0.5454454545454546	0.3263857237398061	1.0
191	bitch	36	0.5092527777777778	0.309194300190126	1.0
192	wouldn't	2	0.5	0.1667	1.0
193	wee	2	0.5	0.5	1.0
194	tired	2	0.5	0.1667	1.0
195	throw	2	0.5	0.1667	1.0
196	terrible	2	0.5	0.1667	1.0
197	sucks	2	0.5	0.1667	1.0
198	offense	2	0.5	0.5	1.0
199	mad	2	0.5	0.1667	1.0
200	ignore	2	0.5	0.1667	1.0
201	haunting	2	0.5	0.5	1.0
202	gives	2	0.5	0.5	1.0
203	fucking	2	0.5	0.1667	1.0
204	fucked	2	0.5	0.1667	1.0
205	filth	2	0.5	0.1667	1.0
206	failing	2	0.5	0.1667	1.0
207	exist	2	0.5	0.1667	1.0
208	dreadful	2	0.5	0.1667	1.0
209	cares	2	0.5	0.1667	1.0
210	ashamed	2	0.5	0.1667	1.0
211	#evil	2	0.5	0.1667	1.0
212	#disappointment	2	0.5	0.1667	1.0
213	#devastated	2	0.5	0.1667	1.0
214	ass	11	0.45453636363636374	0.2571458103267386	1.0
215	hoes	20	0.4500049999999999	0.32103469979894694	1.0
216	hoe	12	0.4444416666666667	0.2832930269124572	1.0
217	warning	3	0.4444333333333333	0.15716626723172994	1.0
218	hate	3	0.4444333333333333	0.41574267949725296	1.0
219	nightmare	4	0.416675	0.2764029881803017	1.0
220	isn't	4	0.416675	0.2764029881803017	1.0
