idx	word	count	avg_attr	std_attr	avg_pred
0	violence	1	1.0	0.0	1.0
1	vandalized	1	1.0	0.0	1.0
2	unattractive	1	1.0	0.0	1.0
3	twisted	1	1.0	0.0	1.0
4	trash	1	1.0	0.0	1.0
5	thick	1	1.0	0.0	1.0
6	temper	1	1.0	0.0	1.0
7	tedious	1	1.0	0.0	1.0
8	squeal	1	1.0	0.0	1.0
9	sloppily	1	1.0	0.0	1.0
10	slimebag	1	1.0	0.0	1.0
11	shameless	1	1.0	0.0	1.0
12	sham	1	1.0	0.0	1.0
13	screaming	1	1.0	0.0	1.0
14	ruin	1	1.0	0.0	1.0
15	profane	1	1.0	0.0	1.0
16	pathetic	1	1.0	0.0	1.0
17	notable	1	1.0	0.0	1.0
18	misleading	1	1.0	0.0	1.0
19	lifeless	1	1.0	0.0	1.0
20	lie	1	1.0	0.0	1.0
21	interest	1	1.0	0.0	1.0
22	insult	2	1.0	0.0	1.0
23	idiot	1	1.0	0.0	1.0
24	horrors	1	1.0	0.0	1.0
25	horrific	2	1.0	0.0	1.0
26	hoes&#8221&#128514&#128514&#128514&#128514	1	1.0	0.0	1.0
27	hickeys	1	1.0	0.0	1.0
28	goddamn	1	1.0	0.0	1.0
29	fuckin'	1	1.0	0.0	1.0
30	fckn	1	1.0	0.0	1.0
31	faker	1	1.0	0.0	1.0
32	fake	1	1.0	0.0	1.0
33	dreadful	2	1.0	0.0	1.0
34	disturbing'	1	1.0	0.0	1.0
35	dike-	1	1.0	0.0	1.0
36	crap	1	1.0	0.0	1.0
37	coward	1	1.0	0.0	1.0
38	bully	1	1.0	0.0	1.0
39	blatant	1	1.0	0.0	1.0
40	a~hole	1	1.0	0.0	1.0
41	ashamed	2	1.0	0.0	1.0
42	arrogant	1	1.0	0.0	1.0
43	'scary	1	1.0	0.0	1.0
44	#victimhood	1	1.0	0.0	1.0
45	#terrorism	1	1.0	0.0	1.0
46	#tantrums	1	1.0	0.0	1.0
47	#racism	1	1.0	0.0	1.0
48	#nightmare	1	1.0	0.0	1.0
49	#innacurate	1	1.0	0.0	1.0
50	#fuming	1	1.0	0.0	1.0
51	#bigots	1	1.0	0.0	1.0
52	#annoyed	1	1.0	0.0	1.0
53	horrible	3	0.8889	0.15711912677965087	1.0
54	threat	2	0.83335	0.16665000000000002	1.0
55	failing	2	0.83335	0.16665000000000002	1.0
56	disappointed	2	0.83335	0.16665000000000002	1.0
57	childish	2	0.83335	0.16665000000000002	1.0
58	awful	2	0.83335	0.16665000000000002	1.0
59	#devastated	2	0.83335	0.16665000000000002	1.0
60	ugly	3	0.7778	0.15711912677965087	1.0
61	dumb	3	0.7777666666666666	0.31428539401138084	1.0
62	#hatred	3	0.7777666666666666	0.31428539401138084	1.0
63	wretched	1	0.6667	0.0	1.0
64	whine	1	0.6667	0.0	1.0
65	wheezing	1	0.6667	0.0	1.0
66	wacky	1	0.6667	0.0	1.0
67	values	1	0.6667	0.0	1.0
68	utter	1	0.6667	0.0	1.0
69	unhinged	1	0.6667	0.0	1.0
70	undoing	1	0.6667	0.0	1.0
71	unclassifiably	1	0.6667	0.0	1.0
72	turkey	1	0.6667	0.0	1.0
73	truth	1	0.6667	0.0	1.0
74	tongue	1	0.6667	0.0	1.0
75	toilet	1	0.6667	0.0	1.0
76	toe	1	0.6667	0.0	1.0
77	terrifying	1	0.6667	0.0	1.0
78	system	1	0.6667	0.0	1.0
79	suicide	1	0.6667	0.0	1.0
80	sticky	1	0.6667	0.0	1.0
81	steal	1	0.6667	0.0	1.0
82	stank	1	0.6667	0.0	1.0
83	small	1	0.6667	0.0	1.0
84	sliced	1	0.6667	0.0	1.0
85	skip	1	0.6667	0.0	1.0
86	skank	1	0.6667	0.0	1.0
87	silence=complicity	1	0.6667	0.0	1.0
88	shoot	1	0.6667	0.0	1.0
89	shitted	1	0.6667	0.0	1.0
90	sheep	1	0.6667	0.0	1.0
91	shame	1	0.6667	0.0	1.0
92	scrotus	1	0.6667	0.0	1.0
93	screwed	1	0.6667	0.0	1.0
94	satirical	1	0.6667	0.0	1.0
95	sank	1	0.6667	0.0	1.0
96	rotting	1	0.6667	0.0	1.0
97	root	1	0.6667	0.0	1.0
98	regret	1	0.6667	0.0	1.0
99	redundant	1	0.6667	0.0	1.0
100	ratchet	1	0.6667	0.0	1.0
101	quit	1	0.6667	0.0	1.0
102	quirky	1	0.6667	0.0	1.0
103	pussies	1	0.6667	0.0	1.0
104	pushes	1	0.6667	0.0	1.0
105	punishes	1	0.6667	0.0	1.0
106	prefer	1	0.6667	0.0	1.0
107	predictable	1	0.6667	0.0	1.0
108	precedent	1	0.6667	0.0	1.0
109	pounding	1	0.6667	0.0	1.0
110	player	1	0.6667	0.0	1.0
111	parent	1	0.6667	0.0	1.0
112	panic	1	0.6667	0.0	1.0
113	overemphatic	1	0.6667	0.0	1.0
114	nicked	1	0.6667	0.0	1.0
115	nail	1	0.6667	0.0	1.0
116	myopic	1	0.6667	0.0	1.0
117	mucking	1	0.6667	0.0	1.0
118	monotonous	1	0.6667	0.0	1.0
119	mistrust	1	0.6667	0.0	1.0
120	misogynistic	1	0.6667	0.0	1.0
121	mediocre	1	0.6667	0.0	1.0
122	many	1	0.6667	0.0	1.0
123	lacks	1	0.6667	0.0	1.0
124	lackluster	1	0.6667	0.0	1.0
125	lacking	1	0.6667	0.0	1.0
126	kidding	1	0.6667	0.0	1.0
127	jerky	1	0.6667	0.0	1.0
128	intimidated	1	0.6667	0.0	1.0
129	influence	1	0.6667	0.0	1.0
130	indignation	1	0.6667	0.0	1.0
131	ignore	2	0.6667	0.0	1.0
132	hurt	1	0.6667	0.0	1.0
133	hurl	1	0.6667	0.0	1.0
134	humans	1	0.6667	0.0	1.0
135	hollow	1	0.6667	0.0	1.0
136	hoe:	1	0.6667	0.0	1.0
137	hells	1	0.6667	0.0	1.0
138	headsmack	1	0.6667	0.0	1.0
139	headache	1	0.6667	0.0	1.0
140	hardcore	1	0.6667	0.0	1.0
141	groans	1	0.6667	0.0	1.0
142	goes	1	0.6667	0.0	1.0
143	glitches	1	0.6667	0.0	1.0
144	gazing	1	0.6667	0.0	1.0
145	gasbag	1	0.6667	0.0	1.0
146	fucking	2	0.6667	0.0	1.0
147	fuckedthis	1	0.6667	0.0	1.0
148	fox	1	0.6667	0.0	1.0
149	food	1	0.6667	0.0	1.0
150	flinch	1	0.6667	0.0	1.0
151	fizzogg	1	0.6667	0.0	1.0
152	filthy	1	0.6667	0.0	1.0
153	faggot	1	0.6667	0.0	1.0
154	f**king	1	0.6667	0.0	1.0
155	extra	1	0.6667	0.0	1.0
156	exploit	1	0.6667	0.0	1.0
157	ethicalmoral	1	0.6667	0.0	1.0
158	estranged	1	0.6667	0.0	1.0
159	empty	1	0.6667	0.0	1.0
160	egg	1	0.6667	0.0	1.0
161	edinburgh	1	0.6667	0.0	1.0
162	eatin	1	0.6667	0.0	1.0
163	disservice	1	0.6667	0.0	1.0
164	displeasure	1	0.6667	0.0	1.0
165	dishonesty	1	0.6667	0.0	1.0
166	discourage	1	0.6667	0.0	1.0
167	die	1	0.6667	0.0	1.0
168	dicks	1	0.6667	0.0	1.0
169	destroy	1	0.6667	0.0	1.0
170	deranged	1	0.6667	0.0	1.0
171	crying*	1	0.6667	0.0	1.0
172	credits	1	0.6667	0.0	1.0
173	cracker	1	0.6667	0.0	1.0
174	cowardly	1	0.6667	0.0	1.0
175	cover	1	0.6667	0.0	1.0
176	clogged	1	0.6667	0.0	1.0
177	chronic	1	0.6667	0.0	1.0
178	bozo	1	0.6667	0.0	1.0
179	bliss-less	1	0.6667	0.0	1.0
180	bitterness	1	0.6667	0.0	1.0
181	bemoaning	1	0.6667	0.0	1.0
182	behavour	1	0.6667	0.0	1.0
183	beguiling	1	0.6667	0.0	1.0
184	beggin'	1	0.6667	0.0	1.0
185	bearded	1	0.6667	0.0	1.0
186	astonishingly	1	0.6667	0.0	1.0
187	arrogance	1	0.6667	0.0	1.0
188	afraid	1	0.6667	0.0	1.0
189	2faces	1	0.6667	0.0	1.0
190	'missing'	1	0.6667	0.0	1.0
191	'friends'	1	0.6667	0.0	1.0
192	''please''	1	0.6667	0.0	1.0
193	&ampunfaithfulness	1	0.6667	0.0	1.0
194	#worry	1	0.6667	0.0	1.0
195	#troublemaker	1	0.6667	0.0	1.0
196	#smh	1	0.6667	0.0	1.0
197	#shocking	1	0.6667	0.0	1.0
198	#resentment	1	0.6667	0.0	1.0
199	#noselfcontrol	1	0.6667	0.0	1.0
200	#mean	1	0.6667	0.0	1.0
201	#liar	1	0.6667	0.0	1.0
202	#leftwingnutjob	1	0.6667	0.0	1.0
203	#ignorance	1	0.6667	0.0	1.0
204	#ifonlypeoplewould	1	0.6667	0.0	1.0
205	#horrifying	1	0.6667	0.0	1.0
206	#horrible	1	0.6667	0.0	1.0
207	#hipocrite	1	0.6667	0.0	1.0
208	#doubt	1	0.6667	0.0	1.0
209	#dissapointed	1	0.6667	0.0	1.0
210	#disheartening	1	0.6667	0.0	1.0
211	#discouraged	1	0.6667	0.0	1.0
212	#disappointment	2	0.6667	0.0	1.0
213	#despair	1	0.6667	0.0	1.0
214	#deceit	1	0.6667	0.0	1.0
215	#awful	1	0.6667	0.0	1.0
216	#10thingsthatgetsonmynerves	1	0.6667	0.0	1.0
217	worst	4	0.66665	0.33335000000000004	1.0
218	terrible	2	0.66665	0.33335000000000004	1.0
219	nasty	2	0.66665	0.33335000000000004	1.0
220	filth	2	0.66665	0.33335000000000004	1.0
221	desperate	2	0.66665	0.33335000000000004	1.0
222	#horrific	2	0.66665	0.33335000000000004	1.0
223	ass	11	0.6363636363636362	0.26419098901682087	1.0
224	smashed	3	0.5555666666666667	0.15716626723172994	1.0
225	hate	3	0.5555666666666667	0.15716626723172994	1.0
226	bitter	3	0.5555666666666667	0.4157426794972529	1.0
227	bitch	36	0.5555611111111111	0.3142804844913199	1.0
228	fuck	6	0.55555	0.24847187466592674	1.0
229	fat	3	0.5555333333333333	0.31428539401138084	1.0
230	horror	10	0.5333300000000001	0.4760966289525688	1.0
231	hoe	12	0.5277833333333334	0.25308528481302284	1.0
232	pussy	13	0.5128230769230768	0.36080941304846625	1.0
233	suffers	2	0.5	0.5	1.0
234	sucks	2	0.5	0.5	1.0
235	stop	2	0.5	0.1667	1.0
236	stand	2	0.5	0.1667	1.0
237	shocking	2	0.5	0.1667	1.0
238	offense	2	0.5	0.1667	1.0
239	nicca	2	0.5	0.1667	1.0
240	mad	2	0.5	0.1667	1.0
241	fucked	2	0.5	0.1667	1.0
242	farce	2	0.5	0.1667	1.0
243	despair	2	0.5	0.5	1.0
244	depression	2	0.5	0.5	1.0
245	clumsy	2	0.5	0.1667	1.0
246	bare	2	0.5	0.1667	1.0
247	absolutely	2	0.5	0.1667	1.0
248	#terrified	2	0.5	0.1667	1.0
249	#saddened	2	0.5	0.5	1.0
250	#nervous	2	0.5	0.1667	1.0
251	#dreadful	2	0.5	0.5	1.0
252	#depressing	2	0.5	0.1667	1.0
253	bitches	11	0.4848545454545455	0.35855899822290277	1.0
254	damn	3	0.4444666666666666	0.3142853940113808	1.0
255	nightmare	4	0.416675	0.2764029881803017	1.0
256	son	4	0.41664999999999996	0.14436643481086592	1.0
257	kill	4	0.41664999999999996	0.14436643481086592	1.0
258	#sad	4	0.41664999999999996	0.14436643481086592	1.0
259	hoes	20	0.400005	0.3091339167335089	1.0
260	nigga	6	0.3888833333333333	0.2290789413911477	1.0
261	bad	9	0.3703777777777778	0.3666573143588431	1.0
262	wow	2	0.33335	0.33335	1.0
263	white	2	0.33335	0.33335	1.0
264	what's	2	0.33335	0.33335	1.0
265	tired	2	0.33335	0.33335	1.0
266	spectacle	2	0.33335	0.33335	1.0
267	social	2	0.33335	0.33335	1.0
268	shut	2	0.33335	0.33335	1.0
269	sadly	2	0.33335	0.33335	1.0
270	numerous	2	0.33335	0.33335	1.0
271	nudes	2	0.33335	0.33335	1.0
272	mine	2	0.33335	0.33335	1.0
273	humanity	2	0.33335	0.33335	1.0
274	haunting	2	0.33335	0.33335	1.0
275	hairy	2	0.33335	0.33335	1.0
276	gives	2	0.33335	0.33335	1.0
277	feeling	2	0.33335	0.33335	1.0
278	exist	2	0.33335	0.33335	1.0
279	e	2	0.33335	0.33335	1.0
280	discussing	2	0.33335	0.33335	1.0
281	delayed	2	0.33335	0.33335	1.0
282	creepy	2	0.33335	0.33335	1.0
283	cold	2	0.33335	0.33335	1.0
284	charming	2	0.33335	0.33335	1.0
285	broken	2	0.33335	0.33335	1.0
286	broke	2	0.33335	0.33335	1.0
287	anyone	2	0.33335	0.33335	1.0
288	#people	2	0.33335	0.33335	1.0
289	utterly	3	0.3333333333333333	0.27217913627282714	1.0
290	tell	3	0.3333333333333333	0.27217913627282714	1.0
291	sad	3	0.3333333333333333	0.27217913627282714	1.0
292	piece	3	0.3333333333333333	0.4714045207910317	1.0
293	dull	3	0.3333333333333333	0.27217913627282714	1.0
294	drama	6	0.3333333333333333	0.38490499116304305	1.0
295	#fear	4	0.333325	0.23571404683429453	1.0
296	yup	1	0.3333	0.0	1.0
297	yawns	1	0.3333	0.0	1.0
298	won't	2	0.3333	0.0	1.0
299	wiser	1	0.3333	0.0	1.0
300	win	1	0.3333	0.0	1.0
301	wikipedia	1	0.3333	0.0	1.0
302	who's	1	0.3333	0.0	1.0
303	wh	1	0.3333	0.0	1.0
304	weirdly	1	0.3333	0.0	1.0
305	weight	1	0.3333	0.0	1.0
306	waited	1	0.3333	0.0	1.0
