idx	word	count	avg_attr	std_attr	avg_pred
0	wonderful	1	1.0	0.0	1.0
1	warm	1	1.0	0.0	1.0
2	terrific	1	1.0	0.0	1.0
3	smiling	1	1.0	0.0	1.0
4	smile	2	1.0	0.0	1.0
5	riveting	1	1.0	0.0	1.0
6	proud	1	1.0	0.0	1.0
7	player	1	1.0	0.0	1.0
8	mesmerizing	1	1.0	0.0	1.0
9	me&#8221	1	1.0	0.0	1.0
10	loved	1	1.0	0.0	1.0
11	lighter	1	1.0	0.0	1.0
12	jolly	1	1.0	0.0	1.0
13	intimate	1	1.0	0.0	1.0
14	imaginative	1	1.0	0.0	1.0
15	hopes	1	1.0	0.0	1.0
16	happily	1	1.0	0.0	1.0
17	happier	1	1.0	0.0	1.0
18	grateful	1	1.0	0.0	1.0
19	gifted	1	1.0	0.0	1.0
20	fresh	1	1.0	0.0	1.0
21	finest	1	1.0	0.0	1.0
22	favorite	1	1.0	0.0	1.0
23	enjoyable	1	1.0	0.0	1.0
24	engaging	1	1.0	0.0	1.0
25	eccentricity	1	1.0	0.0	1.0
26	dreams	1	1.0	0.0	1.0
27	delight	1	1.0	0.0	1.0
28	delectable	1	1.0	0.0	1.0
29	colorful	1	1.0	0.0	1.0
30	brilliantly	1	1.0	0.0	1.0
31	ambitious	1	1.0	0.0	1.0
32	amazing	2	1.0	0.0	1.0
33	:-)	1	1.0	0.0	1.0
34	#terrific	1	1.0	0.0	1.0
35	#excitement	1	1.0	0.0	1.0
36	#brilliance	1	1.0	0.0	1.0
37	excited	3	0.8889	0.15711912677965087	1.0
38	hilarious	2	0.83335	0.16665000000000002	1.0
39	congrats	3	0.7777666666666666	0.31428539401138084	1.0
40	funny	4	0.75	0.2763954503967097	1.0
41	happy	10	0.70001	0.37859300957624664	1.0
42	yass	1	0.6667	0.0	1.0
43	wonderfully	1	0.6667	0.0	1.0
44	wishing	1	0.6667	0.0	1.0
45	wisdom	1	0.6667	0.0	1.0
46	winter	1	0.6667	0.0	1.0
47	vitality	1	0.6667	0.0	1.0
48	treasures	1	0.6667	0.0	1.0
49	tender	1	0.6667	0.0	1.0
50	sweetness	1	0.6667	0.0	1.0
51	surprise	1	0.6667	0.0	1.0
