idx	word	count	avg_attr	std_attr	avg_pred
0	yourselves	1	1.0	0.0	1.0
1	trash	1	1.0	0.0	1.0
2	throats	1	1.0	0.0	1.0
3	swerve	1	1.0	0.0	1.0
4	slimebag	1	1.0	0.0	1.0
5	slap	1	1.0	0.0	1.0
6	shoot	1	1.0	0.0	1.0
7	pussies	1	1.0	0.0	1.0
8	niggas	1	1.0	0.0	1.0
9	mistrust	1	1.0	0.0	1.0
10	idiot	1	1.0	0.0	1.0
11	hoes&#8221&#128514&#128514&#128514&#128514	1	1.0	0.0	1.0
12	hickeys	1	1.0	0.0	1.0
13	headsmack	1	1.0	0.0	1.0
14	gasbag	1	1.0	0.0	1.0
15	fuckedthis	1	1.0	0.0	1.0
16	fckn	1	1.0	0.0	1.0
17	fags	1	1.0	0.0	1.0
18	faggot	1	1.0	0.0	1.0
19	dike-	1	1.0	0.0	1.0
20	dicks	1	1.0	0.0	1.0
21	deaf	1	1.0	0.0	1.0
22	dashed	1	1.0	0.0	1.0
23	darkskin	1	1.0	0.0	1.0
24	cunts	1	1.0	0.0	1.0
25	crap	1	1.0	0.0	1.0
26	coward	1	1.0	0.0	1.0
27	bully	1	1.0	0.0	1.0
28	blatant	1	1.0	0.0	1.0
29	asshole	1	1.0	0.0	1.0
30	#vengeance	1	1.0	0.0	1.0
31	#hipocrite	1	1.0	0.0	1.0
32	#creampie	1	1.0	0.0	1.0
33	hoes	20	0.850015	0.16581465639381823	1.0
34	bitches	11	0.8484909090909092	0.2185178397316607	1.0
35	tf	2	0.83335	0.16665000000000002	1.0
36	negro	2	0.83335	0.16665000000000002	1.0
37	insult	2	0.83335	0.16665000000000002	1.0
38	fucking	2	0.83335	0.16665000000000002	1.0
39	ashamed	2	0.83335	0.16665000000000002	1.0
40	cunt	4	0.833325	0.2886895683515426	1.0
41	pussy	13	0.8205307692307693	0.16615622113687234	1.0
42	bitch	36	0.814813888888889	0.2657993877519679	1.0
43	dumb	3	0.7778	0.15711912677965087	1.0
44	nigga	6	0.7777999999999999	0.15711912677965087	1.0
45	hoe	12	0.7499916666666667	0.30808473525512786	1.0
46	wretched	1	0.6667	0.0	1.0
47	whine	1	0.6667	0.0	1.0
48	wheezing	1	0.6667	0.0	1.0
49	weight	1	0.6667	0.0	1.0
50	vs	1	0.6667	0.0	1.0
51	violence	1	0.6667	0.0	1.0
52	unessential	1	0.6667	0.0	1.0
53	twisted	1	0.6667	0.0	1.0
54	tribalism	1	0.6667	0.0	1.0
55	ting	1	0.6667	0.0	1.0
56	thug	1	0.6667	0.0	1.0
57	thot	1	0.6667	0.0	1.0
58	thigh	1	0.6667	0.0	1.0
59	thick	1	0.6667	0.0	1.0
60	thang	1	0.6667	0.0	1.0
61	suffering	1	0.6667	0.0	1.0
62	steal	1	0.6667	0.0	1.0
63	stank	1	0.6667	0.0	1.0
64	spod-attacks	1	0.6667	0.0	1.0
65	slinky	1	0.6667	0.0	1.0
66	slapping	1	0.6667	0.0	1.0
67	skank	1	0.6667	0.0	1.0
68	sheep	1	0.6667	0.0	1.0
69	shameless	1	0.6667	0.0	1.0
70	sham	1	0.6667	0.0	1.0
71	screwed	1	0.6667	0.0	1.0
72	rote	1	0.6667	0.0	1.0
73	rejected	1	0.6667	0.0	1.0
74	ratchet	1	0.6667	0.0	1.0
75	rangatang	1	0.6667	0.0	1.0
76	profane	1	0.6667	0.0	1.0
77	problems	1	0.6667	0.0	1.0
78	platitudes	1	0.6667	0.0	1.0
79	pimps	1	0.6667	0.0	1.0
80	percolates	1	0.6667	0.0	1.0
81	pang	1	0.6667	0.0	1.0
82	nicked	1	0.6667	0.0	1.0
83	needy	1	0.6667	0.0	1.0
84	needles	1	0.6667	0.0	1.0
85	nasty	2	0.6667	0.0	1.0
86	nailedive	1	0.6667	0.0	1.0
87	mucking	1	0.6667	0.0	1.0
88	monotonous	1	0.6667	0.0	1.0
89	milf	1	0.6667	0.0	1.0
90	melons	1	0.6667	0.0	1.0
91	mama	1	0.6667	0.0	1.0
92	looked	1	0.6667	0.0	1.0
93	lie	1	0.6667	0.0	1.0
94	liberal	1	0.6667	0.0	1.0
95	league	1	0.6667	0.0	1.0
96	lackluster	1	0.6667	0.0	1.0
97	lacking	1	0.6667	0.0	1.0
98	kiss	1	0.6667	0.0	1.0
99	jingo	1	0.6667	0.0	1.0
100	jewis	1	0.6667	0.0	1.0
101	jennifer	1	0.6667	0.0	1.0
102	influence	1	0.6667	0.0	1.0
103	indignation	1	0.6667	0.0	1.0
104	hudson	1	0.6667	0.0	1.0
105	hoe:	1	0.6667	0.0	1.0
106	hells	1	0.6667	0.0	1.0
107	helll	1	0.6667	0.0	1.0
108	half-hearted	1	0.6667	0.0	1.0
109	half-formed	1	0.6667	0.0	1.0
110	hairy	2	0.6667	0.0	1.0
111	gypsy	1	0.6667	0.0	1.0
112	gross	1	0.6667	0.0	1.0
113	google	1	0.6667	0.0	1.0
114	giant	1	0.6667	0.0	1.0
115	fuckin'	1	0.6667	0.0	1.0
116	fucked	2	0.6667	0.0	1.0
117	frigging	1	0.6667	0.0	1.0
118	fox	1	0.6667	0.0	1.0
119	followers	1	0.6667	0.0	1.0
120	fix	1	0.6667	0.0	1.0
121	filthy	1	0.6667	0.0	1.0
122	fake	1	0.6667	0.0	1.0
123	elitist	1	0.6667	0.0	1.0
124	disturbing'	1	0.6667	0.0	1.0
125	dislike	1	0.6667	0.0	1.0
126	dishonesty	1	0.6667	0.0	1.0
127	detriment	1	0.6667	0.0	1.0
128	dangle	1	0.6667	0.0	1.0
129	cracker	1	0.6667	0.0	1.0
130	cowan	1	0.6667	0.0	1.0
131	cover	1	0.6667	0.0	1.0
132	childish	2	0.6667	0.0	1.0
133	bozo	1	0.6667	0.0	1.0
134	bo	1	0.6667	0.0	1.0
135	beggin'	1	0.6667	0.0	1.0
136	a~hole	1	0.6667	0.0	1.0
137	astonishingly	1	0.6667	0.0	1.0
138	anybody	1	0.6667	0.0	1.0
139	adopted	1	0.6667	0.0	1.0
140	`tostring`	1	0.6667	0.0	1.0
141	2faces	1	0.6667	0.0	1.0
142	'scary	1	0.6667	0.0	1.0
143	'meancare'	1	0.6667	0.0	1.0
144	#worry	1	0.6667	0.0	1.0
145	#troublemaker	1	0.6667	0.0	1.0
146	#treason	1	0.6667	0.0	1.0
147	#russianhacking	1	0.6667	0.0	1.0
148	#navy	1	0.6667	0.0	1.0
149	#liar	1	0.6667	0.0	1.0
150	#leftwingnutjob	1	0.6667	0.0	1.0
151	#koolqueeftribute&#160	1	0.6667	0.0	1.0
152	#ifonlypeoplewould	1	0.6667	0.0	1.0
153	#fuming	1	0.6667	0.0	1.0
154	#blue	1	0.6667	0.0	1.0
155	#bigots	1	0.6667	0.0	1.0
156	#awful	1	0.6667	0.0	1.0
157	#arsehole	1	0.6667	0.0	1.0
158	#antifasupporter	1	0.6667	0.0	1.0
159	fuck	6	0.6666833333333333	0.19245971367766526	1.0
160	son	4	0.666675	0.4082482907190182	1.0
161	ugly	3	0.6666666666666666	0.2721791362728272	1.0
162	nicca	2	0.66665	0.33335000000000004	1.0
163	lick	2	0.66665	0.33335000000000004	1.0
164	#dreadful	2	0.66665	0.33335000000000004	1.0
165	shit	9	0.6296444444444443	0.2916360369102065	1.0
166	ass	11	0.6060636363636364	0.23862400348942753	1.0
167	worst	4	0.583325	0.43301751335829364	1.0
168	trust	3	0.5555666666666667	0.15716626723172994	1.0
169	#porn#android#iphone#ipad#sex#xxx	4	0.5000249999999999	0.2886895683515426	1.0
170	ya	2	0.5	0.1667	1.0
171	terrible	2	0.5	0.1667	1.0
172	gives	2	0.5	0.5	1.0
173	filth	2	0.5	0.1667	1.0
174	exist	2	0.5	0.5	1.0
175	cheating	2	0.5	0.1667	1.0
176	bust	2	0.5	0.5	1.0
177	broke	2	0.5	0.5	1.0
178	bare	2	0.5	0.1667	1.0
179	awful	2	0.5	0.5	1.0
180	bitter	3	0.4444333333333333	0.41574267949725296	1.0
181	kill	4	0.41667499999999996	0.2764029881803017	1.0
182	wouldn't	2	0.33335	0.33335	1.0
183	wee	2	0.33335	0.33335	1.0
184	singers	2	0.33335	0.33335	1.0
185	searching	2	0.33335	0.33335	1.0
186	ruins	2	0.33335	0.33335	1.0
187	lose	2	0.33335	0.33335	1.0
188	least	4	0.33335	0.33335	1.0
189	inner	2	0.33335	0.33335	1.0
190	holy	2	0.33335	0.33335	1.0
191	haunting	2	0.33335	0.33335	1.0
192	girls	2	0.33335	0.33335	1.0
193	egregious	2	0.33335	0.33335	1.0
194	drink	2	0.33335	0.33335	1.0
195	dreadful	2	0.33335	0.33335	1.0
196	creepy	2	0.33335	0.33335	1.0
197	charming	2	0.33335	0.33335	1.0
198	broken	2	0.33335	0.33335	1.0
199	aversion	2	0.33335	0.33335	1.0
200	war	3	0.3333333333333333	0.27217913627282714	1.0
201	smashed	3	0.3333333333333333	0.4714045207910317	1.0
202	sad	3	0.3333333333333333	0.4714045207910317	1.0
203	god	3	0.3333333333333333	0.27217913627282714	1.0
204	fat	3	0.3333333333333333	0.4714045207910317	1.0
205	dull	3	0.3333333333333333	0.27217913627282714	1.0
206	hard	5	0.33331999999999995	0.36514837203525913	1.0
207	you's	1	0.3333	0.0	1.0
208	yesterday	1	0.3333	0.0	1.0
209	yard	1	0.3333	0.0	1.0
