idx	word	count	avg_attr	std_attr	avg_pred
0	wonderful	1	1.0	0.0	1.0
1	well-acted	1	1.0	0.0	1.0
2	terrific	1	1.0	0.0	1.0
3	strength	1	1.0	0.0	1.0
4	ponder	1	1.0	0.0	1.0
5	pleasure	1	1.0	0.0	1.0
6	pleasant	1	1.0	0.0	1.0
7	peace	1	1.0	0.0	1.0
8	mesmerizing	1	1.0	0.0	1.0
9	masterpiece	1	1.0	0.0	1.0
10	jolly	1	1.0	0.0	1.0
11	grateful	1	1.0	0.0	1.0
12	fix	1	1.0	0.0	1.0
13	favorite	1	1.0	0.0	1.0
14	enjoyable	1	1.0	0.0	1.0
15	delight	1	1.0	0.0	1.0
16	beautifully	1	1.0	0.0	1.0
17	anniversary	1	1.0	0.0	1.0
18	affecting	1	1.0	0.0	1.0
19	#excitement	1	1.0	0.0	1.0
20	#brilliant	1	1.0	0.0	1.0
21	#bright	1	1.0	0.0	1.0
22	excited	3	0.7778	0.15711912677965087	1.0
23	birthday	3	0.7778	0.15711912677965087	1.0
24	congrats	3	0.7777666666666666	0.31428539401138084	1.0
25	thanks	13	0.717953846153846	0.3161283712364199	1.0
26	wonderfully	1	0.6667	0.0	1.0
27	warm	1	0.6667	0.0	1.0
28	treasures	1	0.6667	0.0	1.0
29	transcends	1	0.6667	0.0	1.0
30	touches	1	0.6667	0.0	1.0
31	thoughts	1	0.6667	0.0	1.0
32	tender	1	0.6667	0.0	1.0
33	surprise	1	0.6667	0.0	1.0
34	striving	1	0.6667	0.0	1.0
35	sign	1	0.6667	0.0	1.0
36	riveting	1	0.6667	0.0	1.0
37	rejoice	1	0.6667	0.0	1.0
38	refreshing	1	0.6667	0.0	1.0
39	referential	1	0.6667	0.0	1.0
40	prayers	1	0.6667	0.0	1.0
41	powerful	1	0.6667	0.0	1.0
42	nominate	1	0.6667	0.0	1.0
43	meaningful	1	0.6667	0.0	1.0
44	marvels	1	0.6667	0.0	1.0
45	lovingly	1	0.6667	0.0	1.0
46	lovely	2	0.6667	0.0	1.0
47	literate	1	0.6667	0.0	1.0
48	laughing	1	0.6667	0.0	1.0
49	intriguing	1	0.6667	0.0	1.0
50	intensifying	1	0.6667	0.0	1.0
51	intelligent	1	0.6667	0.0	1.0
52	inspiring	1	0.6667	0.0	1.0
53	illuminating	1	0.6667	0.0	1.0
54	honest	1	0.6667	0.0	1.0
55	hilarious	2	0.6667	0.0	1.0
56	hand	1	0.6667	0.0	1.0
57	gift	1	0.6667	0.0	1.0
58	fanciful	1	0.6667	0.0	1.0
59	exhilarating	1	0.6667	0.0	1.0
60	ensemble	1	0.6667	0.0	1.0
61	distinctive	1	0.6667	0.0	1.0
62	delectable	1	0.6667	0.0	1.0
63	dear	2	0.6667	0.0	1.0
64	brilliant	2	0.6667	0.0	1.0
65	awe	1	0.6667	0.0	1.0
66	artful	1	0.6667	0.0	1.0
67	apologies	1	0.6667	0.0	1.0
68	amazing	2	0.6667	0.0	1.0
69	accomplishment	1	0.6667	0.0	1.0
70	#mybad	1	0.6667	0.0	1.0
71	#inspiring	1	0.6667	0.0	1.0
72	#awesome	1	0.6667	0.0	1.0
73	happy	10	0.66668	0.29814612457652373	1.0
74	delightful	2	0.66665	0.33335000000000004	1.0
75	please	10	0.56667	0.3000122232509869	1.0
76	thank	5	0.53332	0.26668500070307666	1.0
77	works	2	0.5	0.5	1.0
78	smile	2	0.5	0.1667	1.0
79	share	2	0.5	0.1667	1.0
