idx	word	count	avg_attr	std_attr	avg_pred
0	writhing	1	1.0	0.0	1.0
1	weary	1	1.0	0.0	1.0
2	tribalism	1	1.0	0.0	1.0
3	suicide	1	1.0	0.0	1.0
4	starvation	1	1.0	0.0	1.0
5	sick	1	1.0	0.0	1.0
6	sending	1	1.0	0.0	1.0
7	regret	1	1.0	0.0	1.0
8	problems	1	1.0	0.0	1.0
9	prayers	1	1.0	0.0	1.0
10	peace	1	1.0	0.0	1.0
11	overpopulation	1	1.0	0.0	1.0
12	miserable	1	1.0	0.0	1.0
13	mediocre	1	1.0	0.0	1.0
14	guilt	1	1.0	0.0	1.0
15	gone	1	1.0	0.0	1.0
16	disturbing'	1	1.0	0.0	1.0
17	die	1	1.0	0.0	1.0
18	despair	2	1.0	0.0	1.0
19	cold	2	1.0	0.0	1.0
20	bliss-less	1	1.0	0.0	1.0
21	'scary	1	1.0	0.0	1.0
22	#saddened	2	1.0	0.0	1.0
23	#horrible	1	1.0	0.0	1.0
24	#dreary	1	1.0	0.0	1.0
25	#dreadful	2	1.0	0.0	1.0
26	#dissapointed	1	1.0	0.0	1.0
27	#disheartening	1	1.0	0.0	1.0
28	#discouraged	1	1.0	0.0	1.0
29	#devastated	2	1.0	0.0	1.0
30	gloomy	2	0.83335	0.16665000000000002	1.0
31	disappointed	2	0.83335	0.16665000000000002	1.0
32	#heartbreaking	2	0.83335	0.16665000000000002	1.0
33	sad	3	0.7778	0.15711912677965087	1.0
34	crying	3	0.7778	0.15711912677965087	1.0
35	#sad	4	0.75	0.2763954503967097	1.0
36	yourselves	1	0.6667	0.0	1.0
37	worried	1	0.6667	0.0	1.0
38	wailing	1	0.6667	0.0	1.0
39	vandalized	1	0.6667	0.0	1.0
40	unturned	1	0.6667	0.0	1.0
41	unlikely	1	0.6667	0.0	1.0
42	unessential	1	0.6667	0.0	1.0
43	unable	1	0.6667	0.0	1.0
44	times	1	0.6667	0.0	1.0
45	thread	1	0.6667	0.0	1.0
46	terrifying	1	0.6667	0.0	1.0
47	tate	1	0.6667	0.0	1.0
48	suffering	1	0.6667	0.0	1.0
49	stirred	1	0.6667	0.0	1.0
50	sting	1	0.6667	0.0	1.0
51	snack	1	0.6667	0.0	1.0
52	shameless	1	0.6667	0.0	1.0
53	sham	1	0.6667	0.0	1.0
54	satisfaction	1	0.6667	0.0	1.0
55	ruin	1	0.6667	0.0	1.0
56	rootlessness	1	0.6667	0.0	1.0
57	replies	1	0.6667	0.0	1.0
58	rejected	1	0.6667	0.0	1.0
59	refugee	1	0.6667	0.0	1.0
60	realize	1	0.6667	0.0	1.0
61	q	1	0.6667	0.0	1.0
62	provided	1	0.6667	0.0	1.0
63	panic	1	0.6667	0.0	1.0
