idx	word	count	avg_attr	std_attr	avg_pred
0	tragic	1	0.97	0.0	0.05
1	misleading	1	0.97	0.0	0.95
2	haunt	1	0.97	0.0	0.35
3	fascist	1	0.97	0.0	0.04
4	vote	1	0.95	0.0	0.44
5	fault	1	0.94	0.0	0.79
6	hostility	1	0.92	0.0	0.99
7	asshole	1	0.91	0.0	0.91
8	rejected	1	0.89	0.0	0.15
9	lifeless	1	0.87	0.0	0.27
10	bully	1	0.87	0.0	0.06
11	flinch	1	0.86	0.0	0.65
12	exploit	1	0.86	0.0	0.67
13	awful	2	0.845	0.07500000000000001	0.99
14	zombies	1	0.83	0.0	0.04
15	sliced	1	0.83	0.0	0.96
16	clearing	1	0.8	0.0	0.12
17	trash	1	0.79	0.0	0.99
18	insult	2	0.735	0.22499999999999998	0.965
19	swear	1	0.73	0.0	0.39
20	robbery	1	0.71	0.0	0.21
21	relentless	1	0.7	0.0	0.02
22	grammatical	1	0.7	0.0	0.87
23	china	1	0.69	0.0	1.0
24	brutally	1	0.69	0.0	0.97
25	replies	1	0.67	0.0	0.5
26	miserable	1	0.67	0.0	0.97
27	goddamn	1	0.65	0.0	1.0
28	presidents	1	0.64	0.0	0.83
29	experimental	1	0.63	0.0	0.01
30	topic	1	0.61	0.0	0.05
31	smoking	1	0.61	0.0	0.78
32	based	1	0.61	0.0	0.27
33	government	1	0.59	0.0	0.53
34	endurance	1	0.59	0.0	0.01
35	excessive	1	0.58	0.0	0.99
36	childish	2	0.58	0.37999999999999995	0.975
37	tremendous	1	0.57	0.0	0.36
38	transcript	1	0.55	0.0	0.02
39	ruins	2	0.55	0.35	0.25
40	nips	1	0.545	0.0	0.52
41	formulaic	1	0.545	0.0	0.26
42	disney	1	0.54	0.0	0.35
43	weak	1	0.53	0.0	0.05
44	haunting	2	0.53	0.38	0.01
45	asian	1	0.53	0.0	0.02
46	nasty	2	0.5275000000000001	0.02250000000000002	0.98
47	sting	1	0.52	0.0	0.21
48	ashamed	2	0.52	0.45999999999999996	0.98
49	sex	2	0.515	0.11499999999999999	0.64
50	mucking	1	0.515	0.0	0.25
51	miramax	1	0.515	0.0	0.28
52	negro	2	0.51	0.33999999999999997	0.04
53	must	1	0.51	0.0	0.21
54	imagine	1	0.51	0.0	0.02
55	idiot	1	0.51	0.0	1.0
56	refuting	1	0.505	0.0	0.64
57	#horrific	2	0.5025	0.06749999999999998	0.835
58	portrayal	1	0.5	0.0	0.82
59	madman	1	0.49	0.0	0.82
60	fucking	2	0.49	0.27	0.99
61	cite	1	0.49	0.0	0.02
62	smashed	3	0.48	0.2255363976538303	0.9266666666666666
63	di	1	0.48	0.0	0.01
64	annoyed	1	0.48	0.0	0.99
65	#treason	1	0.48	0.0	0.73
66	#unhappy	1	0.475	0.0	0.04
67	fuck	6	0.4741666666666666	0.24451340567657137	0.9433333333333332
68	posted	1	0.47	0.0	0.08
69	abuse	1	0.47	0.0	0.96
70	shame	1	0.46	0.0	0.02
71	quit	1	0.46	0.0	0.72
72	outstanding	1	0.46	0.0	0.21
73	gripping	1	0.46	0.0	0.02
74	accountable	1	0.46	0.0	0.8
75	#paranoia	1	0.455	0.0	0.39
76	#offended	1	0.455	0.0	0.89
77	grounds	1	0.45	0.0	0.01
78	#terrorism	1	0.45	0.0	0.78
79	hamburgers	1	0.445	0.0	0.03
80	nickelodeon	1	0.44	0.0	0.01
81	default	1	0.44	0.0	0.77
82	claiming	1	0.44	0.0	0.61
83	anybody	1	0.44	0.0	0.81
84	twin	1	0.43	0.0	0.0
85	slapping	1	0.43	0.0	0.97
86	nominate	1	0.43	0.0	0.23
87	cowardly	1	0.42999999999999994	0.0	1.0
88	#ignorance	1	0.42500000000000004	0.0	0.04
89	whine	1	0.425	0.0	0.08
90	violence	1	0.42	0.0	0.99
91	pm	1	0.42	0.0	0.48
92	#annoyed	1	0.415	0.0	0.98
93	pussy	13	0.41410256410256413	0.32542189275465727	0.7884615384615383
94	dissolution	1	0.41	0.0	0.26
95	clumsy	2	0.41	0.54	0.65
96	thick	1	0.4	0.0	0.82
97	arrived	1	0.4	0.0	0.15
98	auntie	1	0.39999999999999997	0.0	0.0
99	viewers	1	0.39	0.0	0.07
100	verify	1	0.39	0.0	0.02
101	toe	1	0.39	0.0	0.01
102	rumor	1	0.39	0.0	0.02
103	bitch	36	0.38708333333333333	0.3456940538366616	0.9441666666666665
104	lump	1	0.38	0.0	0.01
105	stupid	1	0.375	0.0	0.96
106	hurl	1	0.375	0.0	0.73
107	#strategy	1	0.375	0.0	0.01
108	raging	1	0.37	0.0	1.0
109	nouveau	1	0.37	0.0	0.19
110	ethel	1	0.37	0.0	0.07
111	entertainment	1	0.37	0.0	1.0
112	british	1	0.37	0.0	0.76
113	pathetic	1	0.365	0.0	1.0
114	players	1	0.36	0.0	0.98
115	#weary	1	0.36	0.0	0.05
116	kidding	1	0.355	0.0	0.95
117	#horrible	1	0.355	0.0	0.91
118	trump	3	0.35333333333333333	0.04988876515698588	0.35333333333333333
119	lights	1	0.35	0.0	0.26
120	inequality	1	0.35	0.0	0.05
121	catfish	1	0.35	0.0	0.85
122	#tantrums	1	0.35	0.0	0.99
123	thug	1	0.34	0.0	0.92
124	terrifying	1	0.34	0.0	0.53
125	song	1	0.34	0.0	0.99
126	provokes	1	0.34	0.0	0.01
127	precedent	1	0.34	0.0	0.8
128	pleasure	1	0.34	0.0	0.0
129	hurt	1	0.34	0.0	1.0
130	discourage	1	0.34	0.0	0.99
131	clarify	1	0.34	0.0	0.05
132	yard	1	0.33999999999999997	0.0	0.1
133	goat	2	0.33999999999999997	0.06999999999999998	0.32
134	pimps	1	0.33666666666666667	0.0	0.52
135	cracker	1	0.33666666666666667	0.0	0.97
136	gotta	2	0.335	0.05499999999999999	0.44
137	#bad	1	0.335	0.0	0.97
138	exam	2	0.3325	0.0675	0.17500000000000002
139	bitches	11	0.3312121212121211	0.21423942392138548	0.9563636363636363
140	rock	1	0.33	0.0	0.22
141	road	1	0.33	0.0	0.14
142	labels	1	0.33	0.0	0.22
143	filthy	1	0.33	0.0	0.82
144	correctly	1	0.33	0.0	0.09
145	closed	2	0.33	0.23	0.49
146	challenge	1	0.33	0.0	0.01
147	#liar	1	0.32499999999999996	0.0	0.88
148	#hurting	1	0.32499999999999996	0.0	0.66
149	shit	9	0.3238888888888889	0.3562987025405773	0.98
150	hate	3	0.3233333333333333	0.4540435612973226	0.6699999999999999
151	trains	1	0.32	0.0	0.04
152	thinkin	1	0.32	0.0	0.85
153	player	1	0.32	0.0	0.45
154	living	1	0.32	0.0	0.01
155	finished	1	0.32	0.0	0.12
156	baby	2	0.315	0.195	0.465
157	winter	1	0.31	0.0	0.0
158	votes	1	0.31	0.0	0.34
159	unfortunate	1	0.31	0.0	0.98
160	nfl	1	0.31	0.0	0.95
161	holiday	1	0.31	0.0	0.05
162	enemies	1	0.31	0.0	0.02
163	economical	1	0.31	0.0	0.01
164	#fuming	1	0.3066666666666667	0.0	1.0
165	niggas	1	0.3033333333333333	0.0	0.85
166	hardcore	1	0.3	0.0	0.76
167	freaking	1	0.3	0.0	0.01
168	certifications	1	0.3	0.0	0.02
169	business	2	0.3	0.32	1.0
170	anal	1	0.3	0.0	0.76
171	#horrifying	1	0.3	0.0	0.14
172	despair	2	0.2975	0.1775	0.5
173	fuckin	1	0.29666666666666663	0.0	0.95
174	#revenge	1	0.295	0.0	0.33
175	yawns	1	0.2933333333333334	0.0	0.01
176	currently	2	0.29250000000000004	0.2575	0.14
177	@cnn	2	0.29250000000000004	0.0025000000000000022	0.505
178	#uber	1	0.29000000000000004	0.0	0.97
179	patrol	1	0.29	0.0	0.17
180	niece	1	0.29	0.0	0.18
181	lacks	1	0.29	0.0	0.02
182	coated	1	0.29	0.0	0.98
