idx	word	count	avg_attr	std_attr	avg_pred
0	misleading	1	0.99	0.0	0.96
1	tragic	1	0.98	0.0	0.58
2	nominate	1	0.98	0.0	0.15
3	intimidated	1	0.97	0.0	0.18
4	turkey	1	0.96	0.0	0.51
5	reverted	1	0.95	0.0	0.92
6	blush	1	0.94	0.0	0.01
7	rejected	1	0.93	0.0	0.94
8	suspiciously	1	0.92	0.0	0.65
9	fascist	1	0.92	0.0	0.05
10	asshole	1	0.91	0.0	0.13
11	vote	1	0.89	0.0	0.91
12	goddamn	1	0.89	0.0	0.99
13	fault	1	0.87	0.0	0.92
14	slapping	1	0.86	0.0	0.91
15	chicken	1	0.84	0.0	0.98
16	presidents	1	0.83	0.0	0.96
17	lump	1	0.83	0.0	0.02
18	excessive	1	0.83	0.0	0.98
19	road	1	0.82	0.0	0.96
20	clearing	1	0.79	0.0	0.26
21	bully	1	0.78	0.0	0.24
22	opium	1	0.76	0.0	0.05
23	literally	1	0.75	0.0	0.78
24	lifeless	1	0.75	0.0	0.92
25	figures	1	0.71	0.0	0.97
26	apologies	1	0.69	0.0	0.97
27	organising	1	0.68	0.0	0.66
28	haunt	1	0.66	0.0	0.54
29	discourage	1	0.66	0.0	0.97
30	asian	1	0.66	0.0	0.01
31	flinch	1	0.65	0.0	0.77
32	filthy	1	0.65	0.0	0.92
33	insult	2	0.645	0.31499999999999995	0.97
34	nips	1	0.64	0.0	0.58
35	haunting	2	0.64	0.010000000000000009	0.05
36	nightmare	4	0.635	0.3747999466382032	0.5974999999999999
37	negro	2	0.635	0.235	0.15
38	large	1	0.62	0.0	0.04
39	nfl	1	0.61	0.0	0.91
40	entertainment	1	0.61	0.0	0.98
41	challenge	1	0.61	0.0	0.02
42	smashed	3	0.5933333333333334	0.25381533094401965	0.9666666666666667
43	nasty	2	0.5900000000000001	0.15999999999999998	0.985
44	sheep	1	0.59	0.0	0.98
45	nouveau	1	0.59	0.0	0.14
46	unfortunate	1	0.58	0.0	0.89
47	scared	1	0.58	0.0	0.89
48	grammatical	1	0.57	0.0	0.97
49	#unhappy	1	0.5650000000000001	0.0	0.9
50	somber	1	0.56	0.0	0.17
51	affecting	1	0.56	0.0	0.0
52	formulaic	1	0.5599999999999999	0.0	0.21
53	therapy	1	0.55	0.0	0.35
54	fire	1	0.55	0.0	0.11
55	pan	1	0.54	0.0	0.69
56	heart	1	0.54	0.0	0.0
57	economical	1	0.54	0.0	0.02
58	balls	1	0.54	0.0	0.16
59	#dreadful	2	0.535	0.025000000000000022	0.965
60	sadly	2	0.525	0.435	0.02
61	policy	1	0.52	0.0	0.12
62	fucked	2	0.52	0.39	0.94
63	#awful	1	0.52	0.0	0.99
64	song	1	0.51	0.0	0.96
65	ruins	2	0.505	0.41500000000000004	0.525
66	refuting	1	0.505	0.0	0.96
67	pathetic	1	0.505	0.0	0.98
68	squares	1	0.5	0.0	0.37
69	shower	1	0.5	0.0	0.93
70	relentless	1	0.5	0.0	0.01
71	modify	1	0.5	0.0	0.87
72	clumsy	2	0.5	0.39	0.795
73	china	1	0.5	0.0	0.98
74	zombies	1	0.49	0.0	0.75
75	church	2	0.49	0.05000000000000002	0.89
76	#horrific	2	0.49	0.010000000000000009	0.975
77	vandalized	1	0.48333333333333334	0.0	0.98
78	rootlessness	1	0.48000000000000004	0.0	0.03
79	annoyed	1	0.48000000000000004	0.0	0.91
80	theme	1	0.48	0.0	0.06
81	stealing	1	0.48	0.0	0.59
82	shitted	1	0.48	0.0	0.96
83	replies	1	0.48	0.0	0.86
84	portrayal	1	0.48	0.0	0.92
85	different	1	0.48	0.0	0.01
86	haunts	1	0.475	0.0	0.01
87	sad	3	0.47333333333333333	0.4083571421630281	0.4633333333333334
88	sliced	1	0.47	0.0	0.98
89	miramax	1	0.45499999999999996	0.0	0.89
90	:d	1	0.45499999999999996	0.0	0.0
91	#shocking	1	0.45499999999999996	0.0	0.85
92	stereotypes	1	0.45	0.0	0.01
93	experimental	1	0.45	0.0	0.02
94	chilly	1	0.45	0.0	0.65
95	trouble	2	0.44999999999999996	0.37999999999999995	0.13
96	sweep	1	0.44	0.0	0.26
97	struggling	1	0.44	0.0	0.93
98	franchise	1	0.44	0.0	0.87
99	creepy	2	0.4375	0.07250000000000001	0.034999999999999996
100	weak	1	0.43	0.0	0.04
101	announcing	1	0.43	0.0	0.66
102	#skinny	1	0.43	0.0	0.05
103	#annoyed	1	0.425	0.0	0.95
104	wheezing	1	0.42	0.0	0.59
105	surprise	1	0.42	0.0	0.0
106	grounds	1	0.42	0.0	0.02
107	cosas	1	0.42	0.0	0.01
108	confines	1	0.42	0.0	0.01
109	#outrage	1	0.42	0.0	0.98
110	#offended	1	0.42	0.0	0.96
111	#shudder	1	0.41500000000000004	0.0	0.82
112	auntie	1	0.415	0.0	0.0
113	pimps	1	0.41333333333333333	0.0	0.6
114	hurl	1	0.41000000000000003	0.0	0.8
115	farce	2	0.41000000000000003	0.0050000000000000044	0.845
116	trip	1	0.41	0.0	0.01
117	remarkable	1	0.41	0.0	0.85
118	finished	1	0.41	0.0	0.26
119	chain	1	0.41	0.0	0.95
120	hate	3	0.4000000000000001	0.3595367389665021	0.8133333333333334
121	twin	1	0.4	0.0	0.0
122	starvation	1	0.4	0.0	0.83
123	random	1	0.4	0.0	0.01
124	novak	1	0.4	0.0	0.16
125	madman	1	0.4	0.0	0.49
126	finger	1	0.4	0.0	0.98
127	disney	1	0.4	0.0	0.69
128	abuse	1	0.4	0.0	0.97
129	trump	3	0.39666666666666667	0.1302134998974974	0.35000000000000003
130	wretched	1	0.395	0.0	0.99
131	#terrifying	2	0.3925	0.1325	0.32
132	thick	1	0.39	0.0	0.92
133	logistics	1	0.39	0.0	0.41
134	goal	1	0.39	0.0	0.38
135	#insecure	1	0.38999999999999996	0.0	0.88
136	tremendous	1	0.38	0.0	0.83
137	mucking	1	0.38	0.0	0.87
138	gone	1	0.38	0.0	0.92
139	forced	1	0.38	0.0	0.93
140	anybody	1	0.38	0.0	0.94
141	raging	1	0.375	0.0	0.85
142	exam	2	0.375	0.035	0.94
143	terrible	2	0.3725	0.1275	0.955
144	makeup	1	0.37	0.0	0.8
145	idiot	1	0.37	0.0	0.98
146	di	1	0.37	0.0	0.01
147	bowl	1	0.37	0.0	0.05
148	#bullying	1	0.37	0.0	0.13
149	tags	1	0.365	0.0	0.42
150	heavy-handed	1	0.36000000000000004	0.0	0.05
151	shell	1	0.36	0.0	0.02
152	listening	1	0.36	0.0	0.93
153	lean	1	0.36	0.0	0.02
154	distracted	1	0.36	0.0	0.07
155	accountable	1	0.36	0.0	0.96
156	lube	1	0.35000000000000003	0.0	0.95
157	marginal	1	0.35	0.0	0.97
158	frustration	1	0.35	0.0	0.85
159	entity	1	0.35	0.0	0.67
160	clique	1	0.35	0.0	0.95
161	anatomy	1	0.35	0.0	0.05
162	wiki	1	0.3466666666666667	0.0	0.26
163	mediocre	1	0.3466666666666667	0.0	0.88
164	obvious	2	0.34500000000000003	0.20500000000000002	0.625
165	#brunei	1	0.34500000000000003	0.0	0.43
166	martial	2	0.345	0.024999999999999994	0.79
