idx	word	count	avg_attr	std_attr	avg_pred
0	haunt	1	0.99	0.0	0.56
1	scared	1	0.98	0.0	0.98
2	robbery	1	0.96	0.0	0.31
3	intimidated	1	0.96	0.0	0.96
4	urgency	1	0.92	0.0	0.26
5	thriller	1	0.92	0.0	0.02
6	terrified	1	0.9	0.0	0.98
7	flinch	1	0.9	0.0	0.01
8	credible	1	0.89	0.0	0.85
9	tragic	1	0.87	0.0	0.02
10	therapy	1	0.87	0.0	0.22
11	misleading	1	0.86	0.0	0.04
12	nervous	2	0.8200000000000001	0.09000000000000002	0.98
13	facebook	1	0.82	0.0	0.01
14	suspiciously	1	0.81	0.0	0.08
15	malicious	1	0.8	0.0	0.04
16	nightmare	4	0.79	0.35220732530712645	0.815
17	coward	1	0.79	0.0	0.17
18	supernatural	1	0.75	0.0	0.03
19	theater	1	0.72	0.0	0.12
20	undermine	1	0.71	0.0	0.08
21	stolen	1	0.71	0.0	0.02
22	psychological	2	0.7050000000000001	0.16499999999999998	0.03
23	government	1	0.69	0.0	0.84
24	afraid	1	0.67	0.0	0.9
25	narrative	1	0.66	0.0	0.07
26	shocking	2	0.655	0.275	0.06
27	haunting	2	0.65	0.21	0.35000000000000003
28	zombies	1	0.64	0.0	0.03
29	despair	2	0.635	0.14500000000000002	0.12000000000000001
30	sending	1	0.63	0.0	0.02
31	ponder	1	0.62	0.0	0.16
32	moths	1	0.62	0.0	0.75
33	ambiguity	1	0.62	0.0	0.03
34	concern	2	0.61875	0.36125	0.69
35	violence	1	0.59	0.0	0.03
36	sweetness	1	0.59	0.0	0.01
37	song	1	0.59	0.0	0.01
38	clearing	1	0.58	0.0	0.02
39	cowardly	1	0.5700000000000001	0.0	0.13
40	shameless	1	0.565	0.0	0.13
41	tremendous	1	0.56	0.0	0.31
42	screaming	1	0.56	0.0	0.13
43	reviewing	1	0.55	0.0	0.07
44	nips	1	0.55	0.0	0.17
45	#shudder	1	0.545	0.0	0.97
46	mendez	1	0.53	0.0	0.09
47	terrifying	1	0.525	0.0	0.97
48	childish	2	0.525	0.435	0.015
49	thug	1	0.52	0.0	0.0
