idx	word	count	avg_attr	std_attr	avg_pred
0	smiles	1	0.99	0.0	0.97
1	todd	1	0.98	0.0	0.89
2	pleasant	1	0.93	0.0	0.99
3	happier	1	0.93	0.0	0.99
4	comfortable	1	0.91	0.0	0.99
5	ribbons	1	0.88	0.0	0.16
6	meaningful	1	0.86	0.0	0.99
7	excitement	1	0.85	0.0	0.99
8	skip	1	0.83	0.0	0.24
9	formula	1	0.82	0.0	0.16
10	exciting	1	0.81	0.0	0.99
11	display	1	0.78	0.0	0.85
12	prayers	1	0.77	0.0	0.84
13	pleasing	1	0.72	0.0	0.23
14	enjoyable	1	0.72	0.0	1.0
15	delicious	1	0.72	0.0	0.98
16	jolly	1	0.69	0.0	1.0
17	easy	1	0.68	0.0	0.07
18	colorful	1	0.67	0.0	0.99
19	outta	1	0.66	0.0	0.27
20	literary	1	0.66	0.0	0.95
21	crafted	1	0.66	0.0	0.99
22	remarkable	1	0.65	0.0	0.12
23	illuminating	1	0.65	0.0	0.86
24	finest	1	0.65	0.0	0.96
25	anybody	1	0.64	0.0	0.53
26	refreshing	1	0.63	0.0	0.88
27	delightful	2	0.63	0.32	0.995
28	charming	2	0.615	0.04500000000000004	0.52
29	adventure	1	0.61	0.0	0.98
30	remarkably	1	0.6	0.0	0.96
31	recognize	1	0.6	0.0	0.29
32	stands	1	0.59	0.0	0.88
33	proud	1	0.59	0.0	1.0
34	admire	1	0.59	0.0	0.99
35	rewarding	1	0.58	0.0	0.99
36	hearing	1	0.57	0.0	0.98
37	feedback	1	0.57	0.0	0.75
38	excited	3	0.5633333333333334	0.26886593106767703	0.9966666666666667
39	cute	3	0.5399999999999999	0.3721110945224109	0.94
40	sequels	1	0.53	0.0	0.22
41	offering	1	0.53	0.0	0.75
42	imaginative	1	0.53	0.0	0.98
43	chocolate	1	0.53	0.0	0.98
44	aesthetics	1	0.53	0.0	0.22
45	tree	1	0.52	0.0	0.01
46	heartfelt	1	0.52	0.0	0.99
47	delivering	1	0.52	0.0	0.98
48	revealing	1	0.51	0.0	0.86
49	cool	1	0.51	0.0	0.86
50	beautiful	5	0.502	0.14302447343024902	0.778
51	xx	1	0.5	0.0	1.0
52	compelling	4	0.4925	0.26280934153869034	0.5425
53	waved	1	0.49	0.0	0.07
54	treasures	1	0.49	0.0	0.97
55	brilliantly	1	0.49	0.0	0.98
56	amazing	2	0.49	0.20999999999999996	0.99
57	huge	1	0.48	0.0	0.01
58	fresh	1	0.48	0.0	0.87
59	dawn	1	0.48	0.0	0.21
60	compare	1	0.48	0.0	0.02
61	acid	1	0.48	0.0	0.75
62	sexy	1	0.47	0.0	0.95
63	happiness	1	0.47	0.0	0.99
64	gentle	1	0.47	0.0	0.98
65	fine:	1	0.47	0.0	0.85
66	squeal	1	0.4666666666666666	0.0	0.91
67	wonderfully	1	0.465	0.0	0.93
68	tons	1	0.46	0.0	1.0
69	#awesome	1	0.45499999999999996	0.0	0.99
70	valued	1	0.45	0.0	0.01
71	positively	1	0.45	0.0	0.22
72	beautifully	1	0.45	0.0	0.93
73	absurdist	1	0.445	0.0	0.56
74	thank	5	0.44400000000000006	0.3552238730716166	0.5619999999999999
75	warm	1	0.44	0.0	1.0
76	spreading	1	0.44	0.0	0.0
77	considered	1	0.44	0.0	0.01
78	buddy	1	0.44	0.0	0.01
79	#giggles	1	0.435	0.0	0.26
80	movies	2	0.43000000000000005	0.36	0.51
81	poetry	1	0.43	0.0	0.75
82	keeps	1	0.43	0.0	0.88
83	impress	1	0.43	0.0	0.99
84	#laughs	1	0.43	0.0	0.97
85	trip	1	0.42	0.0	0.99
86	tour	1	0.42	0.0	0.96
87	chelsea	1	0.42	0.0	0.96
88	strength	1	0.41500000000000004	0.0	0.98
89	wonderful	1	0.41	0.0	1.0
90	growing	1	0.41	0.0	0.02
91	definitely	1	0.41	0.0	0.24
92	club	1	0.41	0.0	0.47
93	adorable	1	0.41	0.0	0.99
94	managing	2	0.405	0.375	0.96
95	lol	4	0.4041666666666667	0.04190763653560052	0.735
