idx	word	count	avg_attr	std_attr	avg_pred
0	lump	1	0.91	0.0	0.01
1	dumping	1	0.85	0.0	0.06
2	piercing	1	0.84	0.0	0.99
3	fascist	1	0.84	0.0	0.0
4	throat	1	0.83	0.0	0.0
5	anthem	1	0.81	0.0	0.17
6	filthy	1	0.79	0.0	0.0
7	mendez	1	0.77	0.0	0.0
8	force	1	0.69	0.0	0.0
9	marc	1	0.68	0.0	0.01
10	awful	2	0.665	0.24500000000000002	0.005
11	horrible	3	0.6566666666666666	0.22939534045447002	0.06333333333333334
12	nominate	1	0.63	0.0	0.0
13	negro	2	0.63	0.37	0.975
14	hip	1	0.6	0.0	0.98
15	goddamn	1	0.6	0.0	1.0
16	pan	1	0.57	0.0	0.0
17	ho	2	0.5675	0.3225	1.0
18	determine	1	0.56	0.0	0.0
19	made	4	0.5575	0.11475517417528501	0.0
20	lite	1	0.54	0.0	0.01
21	figures	1	0.54	0.0	0.0
22	'damn	1	0.54	0.0	0.71
23	complexities	1	0.505	0.0	0.0
24	ass	11	0.5045454545454546	0.1966706354364454	1.0
25	asshole	1	0.5	0.0	1.0
26	arrogant	1	0.5	0.0	1.0
27	lean	1	0.48	0.0	0.0
28	indignation	1	0.48	0.0	0.64
29	driven	1	0.48	0.0	0.0
30	pathetic	1	0.475	0.0	0.06
31	mother	1	0.47	0.0	0.02
32	idiot	1	0.47	0.0	0.9
33	flinch	1	0.47	0.0	0.01
34	chars	1	0.47	0.0	0.0
35	cart	1	0.46	0.0	0.0
36	damn	3	0.4566666666666667	0.09977753031397175	0.7033333333333333
37	shout	1	0.45	0.0	0.0
38	milk	1	0.45	0.0	0.0
39	grounds	1	0.45	0.0	0.0
40	crap	1	0.44999999999999996	0.0	0.97
41	bad	9	0.4488888888888889	0.268222314277808	0.23000000000000004
42	suffers	2	0.445	0.435	0.0
43	fanatics	1	0.44499999999999995	0.0	0.0
44	effect	1	0.44	0.0	0.0
45	sex	2	0.43000000000000005	0.25	0.77
46	sucks	2	0.42000000000000004	0.51	0.005
47	bitches	11	0.41969696969696973	0.14002852916715314	1.0
48	used	4	0.4175	0.14972892172189045	0.25
49	rock	1	0.41	0.0	0.0
50	shit	9	0.4052777777777778	0.21895092183601217	1.0
51	stretch	1	0.4	0.0	0.03
52	pounding	1	0.4	0.0	1.0
53	cracker	1	0.39999999999999997	0.0	1.0
54	peppers	1	0.39	0.0	0.0
55	large	1	0.39	0.0	0.0
56	screwed	1	0.38	0.0	0.17
57	queer	1	0.38	0.0	1.0
58	moment	1	0.38	0.0	0.04
59	annoyed	1	0.38	0.0	0.0
60	#fuming	1	0.37333333333333335	0.0	0.23
61	takes	1	0.37	0.0	0.01
62	british	1	0.37	0.0	1.0
63	arrogance	1	0.37	0.0	0.03
64	acted	1	0.37	0.0	0.0
65	got	10	0.36200000000000004	0.16803571049035976	0.6
66	hells	1	0.36000000000000004	0.0	0.46
67	pussy	13	0.3589743589743589	0.34920026976273494	1.0
68	#sober	1	0.355	0.0	0.0
69	mouth	1	0.35	0.0	0.0
70	violence	1	0.34	0.0	0.01
71	select	1	0.34	0.0	0.0
72	ma	2	0.34	0.46	1.0
73	haunt	1	0.34	0.0	0.05
74	balls	1	0.34	0.0	0.01
75	dannie	1	0.33999999999999997	0.0	0.99
76	opinion	1	0.335	0.0	1.0
