idx	word	count	avg_attr	std_attr	avg_pred
0	como	1	0.97	0.0	0.95
1	enjoyable	1	0.95	0.0	0.62
2	happier	1	0.94	0.0	0.43
3	apologies	1	0.94	0.0	0.54
4	expectations	1	0.92	0.0	0.48
5	feels	1	0.91	0.0	0.55
6	choirs	1	0.88	0.0	0.34
7	comfortable	1	0.87	0.0	0.69
8	topic	1	0.86	0.0	0.78
9	transcript	1	0.82	0.0	0.22
10	efficient	1	0.82	0.0	0.79
11	behold	1	0.81	0.0	0.4
12	illuminating	1	0.8	0.0	0.64
13	psalms	1	0.79	0.0	0.33
14	economical	1	0.77	0.0	0.24
15	recognize	1	0.74	0.0	0.17
16	treasures	1	0.73	0.0	0.3
17	moths	1	0.72	0.0	0.16
18	~	1	0.71	0.0	0.21
19	engaging	1	0.7	0.0	0.82
20	peace	1	0.69	0.0	0.97
21	google	1	0.69	0.0	0.08
22	meaningful	1	0.67	0.0	0.63
23	ensemble	1	0.67	0.0	0.44
24	peoples	1	0.66	0.0	0.06
25	prediction	1	0.65	0.0	0.93
26	aesthetics	1	0.64	0.0	0.35
27	excitement	1	0.63	0.0	0.49
28	pseudo	1	0.6	0.0	0.65
29	loves	1	0.6	0.0	0.07
30	grounds	1	0.6	0.0	0.8
31	anniversary	1	0.6	0.0	0.96
32	policy	1	0.59	0.0	0.93
33	rewarding	1	0.565	0.0	0.9
34	imaginative	1	0.56	0.0	0.2
35	image	1	0.56	0.0	0.2
36	disney	1	0.56	0.0	0.23
37	scenes	2	0.5549999999999999	0.195	0.405
38	prayers	1	0.55	0.0	0.92
39	pizza	1	0.55	0.0	0.38
40	holiday	1	0.55	0.0	0.13
41	chases	1	0.55	0.0	0.77
42	hey	4	0.54875	0.44699517614846807	0.7125
43	turkey	1	0.54	0.0	0.2
44	mortality	1	0.54	0.0	0.53
45	melancholy	1	0.54	0.0	0.03
46	edges	1	0.54	0.0	0.25
47	surprises	1	0.53	0.0	0.64
48	proud	1	0.53	0.0	0.75
49	#shakespeare	1	0.53	0.0	0.05
50	twists	1	0.52	0.0	0.68
51	impress	1	0.52	0.0	0.05
52	chelsea	1	0.5	0.0	0.26
53	astronaut	1	0.5	0.0	0.08
54	cute	3	0.49666666666666665	0.33905096306537097	0.4333333333333334
55	tags	1	0.485	0.0	0.77
56	removing	1	0.48	0.0	0.97
57	remarkably	1	0.48	0.0	0.24
58	perfect	2	0.48	0.27	0.44000000000000006
59	either	1	0.48	0.0	0.93
60	chamber	1	0.48	0.0	0.18
61	2017	1	0.48	0.0	0.39
62	loving	2	0.475	0.405	0.475
63	scene	1	0.47	0.0	0.22
64	nature	1	0.47	0.0	0.06
65	fun	3	0.46166666666666667	0.29581337960875864	0.6566666666666666
66	skinny	1	0.46	0.0	0.06
67	remains	1	0.46	0.0	0.3
68	poetry	1	0.46	0.0	0.3
69	charming	2	0.45999999999999996	0.26999999999999996	0.425
70	urgency	1	0.45	0.0	0.41
71	refreshing	1	0.45	0.0	0.6
72	powerful	1	0.45	0.0	0.12
73	beautifully	1	0.45	0.0	0.77
74	arcgis	1	0.45	0.0	0.54
75	@colin	1	0.45	0.0	0.92
76	journey	2	0.445	0.16499999999999998	0.78
77	lovely	2	0.44499999999999995	0.49499999999999994	0.96
78	screwed	1	0.44	0.0	0.07
79	poignant	1	0.44	0.0	0.53
80	array	1	0.43999999999999995	0.0	0.7
81	talent	1	0.43	0.0	0.24
82	lump	1	0.43	0.0	0.84
83	install	1	0.43	0.0	0.81
84	suffers	2	0.425	0.445	0.66
85	hi	5	0.4240000000000001	0.4152998916445802	0.9480000000000001
86	todd	1	0.42	0.0	0.89
87	promising	1	0.42	0.0	0.18
88	optimism	2	0.42	0.010000000000000009	0.48500000000000004
89	determine	1	0.42	0.0	0.91
90	confirming	1	0.42	0.0	0.03
91	inspiring	1	0.415	0.0	0.79
92	walls	1	0.41	0.0	0.26
93	theoretical	1	0.41	0.0	0.71
94	games	1	0.41	0.0	0.04
95	variable	1	0.4	0.0	0.05
96	plan	1	0.4	0.0	0.18
97	patrol	1	0.4	0.0	0.48
98	weather	3	0.39999999999999997	0.14696938456699066	0.09666666666666666
99	smart	2	0.39	0.19999999999999998	0.18
100	settle	1	0.39	0.0	0.26
101	secured	1	0.39	0.0	0.96
102	moods	1	0.39	0.0	0.3
103	erica	1	0.39	0.0	0.77
104	easy	1	0.39	0.0	0.91
105	detective	1	0.39	0.0	0.2
106	ct	1	0.39	0.0	0.84
107	agenda	1	0.39	0.0	0.08
108	affecting	1	0.39	0.0	0.75
109	#points	1	0.385	0.0	0.06
110	stretched	1	0.38	0.0	0.41
111	reminiscent	1	0.38	0.0	0.17
112	delightful	2	0.38	0.15000000000000002	0.52
113	babies	1	0.38	0.0	0.73
114	crying	3	0.3766666666666667	0.31710495984067416	0.39666666666666667
115	spread	1	0.37	0.0	0.05
116	rural	1	0.37	0.0	0.6
117	polished	1	0.37	0.0	0.77
118	grounded	1	0.37	0.0	0.7
119	exciting	1	0.37	0.0	0.55
120	cliche	1	0.37	0.0	0.3
121	sounds	3	0.36666666666666664	0.40745824598628777	0.33666666666666667
122	compelling	4	0.36500000000000005	0.36445164288283843	0.4975
123	packed	1	0.36	0.0	0.12
124	nba	1	0.36	0.0	0.13
125	meeting	1	0.36	0.0	0.19
126	jolly	1	0.36	0.0	0.96
127	genre	2	0.36	0.15000000000000002	0.35500000000000004
128	feedback	1	0.36	0.0	0.97
129	elderly	1	0.36	0.0	0.06
130	@uber	1	0.35000000000000003	0.0	0.17
131	wisdom	1	0.35	0.0	0.59
132	unable	1	0.35	0.0	0.91
133	trains	1	0.34	0.0	0.27
134	proprietary	1	0.34	0.0	0.81
135	describe	1	0.34	0.0	0.25
136	anger	1	0.34	0.0	0.13
137	2nd	1	0.34	0.0	0.39
138	often	3	0.33666666666666667	0.09977753031397175	0.3133333333333333
139	coding	1	0.33499999999999996	0.0	0.6
140	wedding	1	0.33	0.0	0.1
141	intriguing	1	0.33	0.0	0.64
142	tomorrow	1	0.32999999999999996	0.0	0.93
143	grief	2	0.32999999999999996	0.26999999999999996	0.685
144	feeds	1	0.325	0.0	0.54
145	confusions	1	0.325	0.0	0.79
146	violence	1	0.32	0.0	0.12
147	touches	1	0.32	0.0	0.59
148	narrative	1	0.32	0.0	0.42
149	modify	1	0.32	0.0	0.58
150	longer	1	0.32	0.0	0.21
151	envelopes	1	0.32	0.0	0.2
152	entity	1	0.32	0.0	0.18
153	disappointed	2	0.32	0.2	0.115
154	chocolate	1	0.32	0.0	0.14
155	`new	1	0.32	0.0	0.79
156	'scary	1	0.32	0.0	0.08
157	delight	1	0.31499999999999995	0.0	0.22
158	thriller	1	0.31	0.0	0.64
159	lite	1	0.31	0.0	0.95
160	crossroads	1	0.31	0.0	0.22
161	cartoonish	1	0.31	0.0	0.12
162	awfully	1	0.31	0.0	0.9
163	#brunei	1	0.31	0.0	0.2
164	movies	2	0.305	0.215	0.465
165	ruin	1	0.3	0.0	0.11
166	pride	1	0.3	0.0	0.18
167	knows	1	0.3	0.0	0.08
168	despair	2	0.3	0.06999999999999999	0.18000000000000002
169	chess	1	0.3	0.0	0.03
170	amateur	1	0.3	0.0	0.06
171	thornberrys	1	0.2933333333333333	0.0	0.96
172	happy	10	0.29300000000000004	0.35431765409022453	0.9110000000000001
173	crime	3	0.2916666666666667	0.2197094040368373	0.3
174	please	10	0.2915	0.30758779234553507	0.545
175	unique	1	0.29	0.0	0.42
176	tips	1	0.29	0.0	0.66
177	superior	1	0.29	0.0	0.05
178	sequel	1	0.29	0.0	0.23
179	seeking	1	0.29	0.0	0.37
180	resolve	1	0.29	0.0	0.79
181	replies	1	0.29	0.0	0.24
182	level	1	0.29	0.0	0.02
183	keeps	1	0.29	0.0	0.53
184	heartfelt	1	0.29	0.0	0.78
185	translucent	1	0.28	0.0	0.33
186	smiles	1	0.28	0.0	0.22
187	finest	1	0.28	0.0	0.39
188	exhausted	1	0.28	0.0	0.7
189	delicious	1	0.28	0.0	0.14
190	credits	1	0.28	0.0	0.49
191	feet	3	0.27999999999999997	0.12027745701779144	0.08
192	archive	2	0.2775	0.2725	0.3
193	#worry	1	0.27666666666666667	0.0	0.37
194	spellbinding	1	0.2733333333333334	0.0	0.66
195	thick	1	0.27	0.0	0.22
196	stays	1	0.27	0.0	0.68
197	regular	1	0.27	0.0	0.2
198	driving	1	0.27	0.0	0.42
199	comb	1	0.27	0.0	0.09
200	calculated	1	0.27	0.0	0.07
201	anchor	1	0.27	0.0	0.8
202	#inspiring	1	0.27	0.0	0.58
203	miramax	1	0.26999999999999996	0.0	0.03
204	seems	4	0.265	0.14465476141489433	0.2
205	implodes	1	0.26333333333333336	0.0	0.29
206	films	3	0.26333333333333336	0.41707979518978805	0.58
207	joy	2	0.2625	0.1275	0.45499999999999996
208	whether	1	0.26	0.0	0.78
209	week	1	0.26	0.0	0.97
210	thunder	1	0.26	0.0	0.25
211	sworn	1	0.26	0.0	0.06
212	returns	1	0.26	0.0	0.79
213	pulse	1	0.26	0.0	0.68
214	needles	1	0.26	0.0	0.25
215	minority	1	0.26	0.0	0.68
216	marvels	1	0.26	0.0	0.3
217	jokes	2	0.26	0.22	0.445
218	ground	1	0.26	0.0	0.37
219	forget	1	0.26	0.0	0.79
220	disappointing	1	0.26	0.0	0.17
221	di	1	0.26	0.0	0.71
222	deeply	1	0.26	0.0	0.95
223	birds	2	0.26	0.22	0.05
224	#discouraged	1	0.26	0.0	0.18
225	amazing	2	0.255	0.045	0.5650000000000001
226	#wisdom	1	0.255	0.0	0.19
227	tonight	2	0.25	0.22999999999999998	0.31
228	thigh	1	0.25	0.0	0.28
229	shopping	1	0.25	0.0	0.28
230	sank	1	0.25	0.0	0.2
231	residents	1	0.25	0.0	0.08
232	pc	1	0.25	0.0	0.03
233	messages	1	0.25	0.0	0.24
234	masterpiece	1	0.25	0.0	0.74
235	hell-	1	0.25	0.0	0.15
236	azure	1	0.25	0.0	0.98
237	aw	1	0.25	0.0	0.04
238	assure	1	0.25	0.0	0.04
239	alive	1	0.25	0.0	0.53
240	acid	1	0.25	0.0	0.3
241	accomplishment	1	0.25	0.0	0.34
242	beautiful	5	0.244	0.1558974021592406	0.532
243	singers	2	0.24000000000000002	0.11000000000000001	0.14
244	unfortunate	1	0.24	0.0	0.09
245	title	1	0.24	0.0	0.15
246	redeem	1	0.24	0.0	0.07
247	player	1	0.24	0.0	0.06
248	miss	3	0.24	0.2619160170741759	0.6633333333333333
249	eating	1	0.24	0.0	0.08
250	driven	1	0.24	0.0	0.08
251	difficult	1	0.24	0.0	0.45
252	@awardsdaily	1	0.24	0.0	0.13
253	#someday	1	0.24	0.0	0.37
254	handle	3	0.23666666666666666	0.1649915822768611	0.07333333333333335
255	weary	1	0.23500000000000001	0.0	0.7
256	trouble	2	0.23500000000000001	0.095	0.64
257	news	2	0.23500000000000001	0.165	0.45999999999999996
258	feeling	2	0.235	0.02500000000000001	0.38
259	exception	1	0.235	0.0	0.22
260	pimps	1	0.2333333333333333	0.0	0.94
261	mediocre	1	0.2333333333333333	0.0	0.45
262	example	2	0.2325	0.2875	0.75
263	yourselves	1	0.23	0.0	0.02
264	works	2	0.23	0.22	0.5900000000000001
265	revealing	1	0.23	0.0	0.64
266	odds	1	0.23	0.0	0.14
267	frustration	1	0.23	0.0	0.02
268	animated	1	0.23	0.0	0.2
269	allow	1	0.23	0.0	0.41
270	advice	1	0.23	0.0	0.04
271	wonderfully	1	0.22999999999999998	0.0	0.32
272	thriller-noir	1	0.22999999999999998	0.0	0.68
273	delayed	2	0.22999999999999998	0.009999999999999995	0.12
274	strong	2	0.2275	0.037500000000000006	0.39499999999999996
275	birthday	3	0.2275	0.19675492369950998	0.9133333333333334
276	#comedy	1	0.22500000000000003	0.0	0.12
277	@ffigurefbust	1	0.225	0.0	0.06
278	thoughts	1	0.22499999999999998	0.0	0.78
279	@rickysnecklace	1	0.22400000000000003	0.0	0.75
280	gloomy	2	0.22166666666666665	0.011666666666666659	0.49
281	congrats	3	0.22111111111111112	0.12389760806387916	0.8966666666666668
282	#concert	1	0.22000000000000003	0.0	0.52
283	speak	1	0.22	0.0	0.18
284	sequels	1	0.22	0.0	0.06
285	redundant	1	0.22	0.0	0.04
286	dreaming	1	0.22	0.0	0.85
287	delivering	1	0.22	0.0	0.68
288	baseball	2	0.22	0.22	0.305
289	@morninggloria	1	0.22	0.0	0.87
290	subtly	2	0.21500000000000002	0.31500000000000006	0.505
291	fine:	1	0.21500000000000002	0.0	0.92
292	#celtics	1	0.21500000000000002	0.0	0.08
293	@taapsee	1	0.215	0.0	0.39
294	#shakes	1	0.215	0.0	0.13
295	excited	3	0.21333333333333335	0.21076579946049648	0.8566666666666666
296	#horrific	2	0.21250000000000002	0.012499999999999997	0.145
297	-@sounds_good_bro	1	0.21142857142857144	0.0	0.39
298	sweetness	1	0.21	0.0	0.14
299	speed	1	0.21	0.0	0.04
300	screen	1	0.21	0.0	0.1
301	road	1	0.21	0.0	0.45
302	quiet	1	0.21	0.0	0.03
303	popularity	1	0.21	0.0	0.07
304	hearing	1	0.21	0.0	0.58
305	errors	1	0.21	0.0	0.77
306	distract	1	0.21	0.0	0.13
307	display	1	0.21	0.0	0.03
308	=	1	0.21	0.0	0.14
309	#brilliant	1	0.20999999999999996	0.0	0.2
310	punch-drunk	1	0.2066666666666667	0.0	0.15
311	#shush	1	0.20666666666666667	0.0	0.08
312	entertaining	3	0.20444444444444443	0.26590632342895903	0.22333333333333336
313	dull	3	0.20333333333333334	0.2283759084394752	0.13999999999999999
314	#cashback	1	0.20333333333333334	0.0	0.37
315	@bbcbreaking	1	0.20249999999999999	0.0	0.08
316	sending	1	0.2	0.0	0.92
317	outfit	1	0.2	0.0	0.19
318	meal	1	0.2	0.0	0.2
319	mars	1	0.2	0.0	0.27
320	laughing	1	0.2	0.0	0.2
321	intelligent	1	0.2	0.0	0.68
322	harvard	1	0.2	0.0	0.1
323	coulda	1	0.2	0.0	0.06
324	concert	1	0.2	0.0	0.62
325	close	2	0.2	0.08000000000000002	0.045
326	bcci	1	0.2	0.0	0.09
327	@chasejarvis	1	0.2	0.0	0.58
328	pretty'	1	0.195	0.0	0.08
329	patient	2	0.195	0.20500000000000002	0.52
330	console	2	0.195	0.024999999999999994	0.275
331	roland's	1	0.19333333333333336	0.0	0.2
332	written	1	0.19	0.0	0.12
333	withstand	1	0.19	0.0	0.77
334	unnecessary	1	0.19	0.0	0.22
335	settings	1	0.19	0.0	0.3
336	ponder	1	0.19	0.0	0.92
337	nightmare	4	0.19	0.21805962487356528	0.10500000000000001
338	imdb	1	0.19	0.0	0.03
339	happiness	1	0.19	0.0	0.74
340	hand	1	0.19	0.0	0.89
341	enthusiast	1	0.19	0.0	0.03
342	delta	1	0.19	0.0	0.15
343	crafted	1	0.19	0.0	0.53
344	content	1	0.19	0.0	0.92
345	comfortably	1	0.19	0.0	0.39
346	@shibexd	1	0.19	0.0	0.92
347	#faith	1	0.19	0.0	0.09
348	@delta	1	0.18666666666666668	0.0	0.03
349	@annakingradio	1	0.184	0.0	0.48
350	project	3	0.18333333333333335	0.15542057635833023	0.6900000000000001
351	opps	1	0.18333333333333335	0.0	0.3
352	looks	3	0.18333333333333335	0.06847546194724714	0.4466666666666667
353	bitterness	1	0.18000000000000002	0.0	0.06
354	ax	1	0.18000000000000002	0.0	0.87
355	abate	1	0.18000000000000002	0.0	0.92
356	templates	1	0.18	0.0	0.93
357	serious	2	0.18	0.2	0.72
358	paybacks	1	0.18	0.0	0.09
359	pain	1	0.18	0.0	0.39
360	logistics	1	0.18	0.0	0.89
361	lighter	1	0.18	0.0	0.08
362	enemies	1	0.18	0.0	0.37
363	african	2	0.18	0.19	0.785
364	access	1	0.18	0.0	0.58
365	fight	2	0.17500000000000002	0.09500000000000001	0.405
366	comedy	6	0.17500000000000002	0.35074919814591166	0.40166666666666667
367	x	2	0.175	0.09500000000000001	0.52
368	somewhere	1	0.175	0.0	0.93
369	placeholder	1	0.175	0.0	0.78
370	jealousy	2	0.175	0.11499999999999999	0.325
371	eatin	1	0.175	0.0	0.02
372	uchiha	1	0.17333333333333334	0.0	0.02
373	things	3	0.17333333333333334	0.11323525167642019	0.34
374	#trayvon	1	0.17333333333333334	0.0	0.53
375	happens	2	0.17250000000000001	0.09250000000000001	0.08
376	struggle	1	0.17	0.0	0.4
377	scan	1	0.17	0.0	0.84
378	roam	1	0.17	0.0	0.03
379	rate	1	0.17	0.0	0.08
380	posts	1	0.17	0.0	0.03
381	plotting	1	0.17	0.0	0.15
382	obstacles	1	0.17	0.0	0.74
383	obey	1	0.17	0.0	0.33
384	normal	1	0.17	0.0	0.43
385	mine	2	0.17	0.22	0.05
386	lower	1	0.17	0.0	0.48
387	lie	1	0.17	0.0	0.02
388	learning	1	0.17	0.0	0.19
389	lacking	1	0.17	0.0	0.06
390	jjph	1	0.17	0.0	0.97
391	huge	1	0.17	0.0	0.63
392	holds	1	0.17	0.0	0.06
393	gibson	1	0.17	0.0	0.81
394	dreams	1	0.17	0.0	0.47
395	crossed	1	0.17	0.0	0.27
396	correctly	1	0.17	0.0	0.05
397	construction	1	0.17	0.0	0.2
398	china	1	0.17	0.0	0.02
399	characters	3	0.17	0.13735598518691008	0.2833333333333334
400	anthem	1	0.17	0.0	0.07
401	'you	1	0.17	0.0	0.09
402	deftly	2	0.16999999999999998	0.009999999999999995	0.495
403	@leahremini	1	0.16999999999999998	0.0	0.11
404	caffeine	1	0.1675	0.0	0.13
405	unnie	1	0.16666666666666666	0.0	0.95
406	namjoo	1	0.16666666666666666	0.0	0.95
407	forward	3	0.16666666666666666	0.11323525167642019	0.3333333333333333
408	film	15	0.16533333333333333	0.3184727443422575	0.5653333333333334
409	inept	1	0.165	0.0	0.77
410	home	2	0.165	0.065	0.02
411	brand	2	0.165	0.165	0.53
412	#notyet	1	0.165	0.0	0.37
413	stars	2	0.16499999999999998	0.13499999999999998	0.45999999999999996
414	series	2	0.16499999999999998	0.12499999999999999	0.245
415	coming-of-age	1	0.16399999999999998	0.0	0.94
416	joan's	1	0.16333333333333333	0.0	0.77
417	@callmekarizma	1	0.16333333333333333	0.0	0.63
418	*part*	1	0.16333333333333333	0.0	0.13
419	wacky	1	0.16	0.0	0.05
420	valued	1	0.16	0.0	0.05
421	tub	1	0.16	0.0	0.07
422	synonyms:	1	0.16	0.0	0.14
423	soooo	1	0.16	0.0	0.03
424	rue	1	0.16	0.0	0.03
425	rio	1	0.16	0.0	0.17
426	receive	1	0.16	0.0	0.05
427	ninda	1	0.16	0.0	0.09
428	nervous	2	0.16	0.21	0.79
429	malicous	1	0.16	0.0	0.03
430	great	9	0.16	0.2879043050891891	0.6644444444444445
431	gifted	1	0.16	0.0	0.21
432	flattered	1	0.16	0.0	0.97
433	features	1	0.16	0.0	0.2
434	dolls	1	0.16	0.0	0.25
435	curves	1	0.16	0.0	0.17
436	clarified	1	0.16	0.0	0.87
437	clapper	1	0.16	0.0	0.08
438	city	1	0.16	0.0	0.02
439	breath	1	0.16	0.0	0.04
440	blocks	1	0.16	0.0	0.06
441	angel	2	0.16	0.03	0.525
442	admire	1	0.16	0.0	0.79
443	#auckland	1	0.16	0.0	0.15
444	passed	2	0.15999999999999998	0.18999999999999997	0.33999999999999997
445	emotions	1	0.15999999999999998	0.0	0.28
446	bus	2	0.15999999999999998	0.13	0.25
447	@marcdeacon_	1	0.15833333333333335	0.0	0.9
448	lack	4	0.1575	0.20632195714465293	0.255
449	strange	2	0.15749999999999997	0.1925	0.15500000000000003
450	#doubt	1	0.15666666666666665	0.0	0.37
451	@aleofatime	1	0.15600000000000003	0.0	0.18
452	hell	1	0.155	0.0	0.08
