idx	word	count	avg_attr	std_attr	avg_pred
0	misleading	1	0.99	0.0	0.41
1	gone	1	0.98	0.0	0.91
2	sadly	2	0.975	0.0050000000000000044	0.99
3	unfortunate	1	0.96	0.0	0.89
4	ruins	2	0.96	0.010000000000000009	0.55
5	apologies	1	0.96	0.0	0.82
6	therapy	1	0.95	0.0	0.61
7	lacks	1	0.95	0.0	0.51
8	tragic	1	0.94	0.0	0.51
9	sting	1	0.92	0.0	0.74
10	mortality	1	0.92	0.0	0.05
11	lifeless	1	0.92	0.0	0.46
12	dissolution	1	0.88	0.0	0.29
13	discourage	1	0.88	0.0	0.4
14	topic	1	0.79	0.0	0.1
15	fault	1	0.78	0.0	0.09
16	thriller	1	0.77	0.0	0.01
17	novak	1	0.77	0.0	0.03
18	melancholy	1	0.76	0.0	0.2
19	trash	1	0.75	0.0	0.27
20	danger	1	0.75	0.0	0.13
21	coward	1	0.75	0.0	0.32
22	errors	1	0.74	0.0	0.19
23	trains	1	0.73	0.0	0.05
24	sad	3	0.73	0.18239152027072605	0.8133333333333334
25	undermine	1	0.72	0.0	0.82
26	displeasure	1	0.72	0.0	0.27
27	depression	2	0.72	0.22999999999999998	0.99
28	rejected	1	0.7	0.0	0.88
29	insult	2	0.7	0.22000000000000003	0.345
30	bully	1	0.7	0.0	0.01
31	smashed	3	0.6766666666666667	0.1857118436957883	0.6966666666666667
32	narrative	1	0.67	0.0	0.91
33	guilt	1	0.65	0.0	0.8
34	makeup	1	0.62	0.0	0.99
35	receive	1	0.61	0.0	0.05
36	#discouraged	1	0.605	0.0	0.58
37	sank	1	0.58	0.0	0.33
38	gibson	1	0.58	0.0	0.03
39	ambiguity	1	0.57	0.0	0.15
40	main	1	0.55	0.0	0.97
41	emotionally	1	0.55	0.0	0.02
42	closed	2	0.55	0.2	0.53
43	marginal	1	0.54	0.0	0.52
44	appropriately	1	0.54	0.0	0.08
45	tears	2	0.535	0.385	0.245
46	ashamed	2	0.5349999999999999	0.285	0.28
47	ruin	1	0.53	0.0	0.73
48	nickelodeon	1	0.53	0.0	0.01
49	2002	1	0.53	0.0	0.01
50	sham	1	0.52	0.0	0.14
51	pathetic	1	0.515	0.0	0.26
52	starvation	1	0.5	0.0	0.85
53	feels	1	0.5	0.0	0.01
54	excessive	1	0.5	0.0	0.03
55	93	1	0.5	0.0	0.01
56	holiday	1	0.49	0.0	0.04
57	despair	2	0.48	0.4	0.9550000000000001
58	crying	3	0.48	0.19304576314093677	0.9666666666666668
59	unhappy	1	0.47	0.0	0.88
60	sound	1	0.47	0.0	0.03
61	regret	1	0.47	0.0	0.74
62	weekend	1	0.46	0.0	0.04
