idx	word	count	avg_attr	std_attr	avg_pred
0	remarkable	1	0.97	0.0	0.97
1	pleasant	1	0.97	0.0	0.89
2	pleasing	1	0.92	0.0	0.92
3	impress	1	0.92	0.0	0.98
4	catching	1	0.92	0.0	0.87
5	portals	1	0.9	0.0	0.78
6	fix	1	0.88	0.0	0.32
7	sexy	1	0.86	0.0	1.0
8	smiling	1	0.84	0.0	1.0
9	loves	1	0.83	0.0	0.67
10	shine	1	0.8	0.0	0.97
11	refreshing	1	0.8	0.0	1.0
12	displeasure	1	0.78	0.0	0.03
13	beautifully	1	0.74	0.0	1.0
14	attribute	1	0.72	0.0	0.44
15	unofficial	1	0.7	0.0	0.94
16	charming	2	0.695	0.25499999999999995	0.995
17	unique	1	0.69	0.0	0.7
18	loop	1	0.64	0.0	0.94
19	delightful	2	0.62	0.22999999999999998	1.0
20	cute	3	0.6166666666666667	0.27157974069424906	0.9833333333333334
21	possess	1	0.6	0.0	0.32
22	cool	1	0.59	0.0	0.84
23	enjoy	2	0.5700000000000001	0.03999999999999998	0.995
24	celebration	1	0.55	0.0	1.0
25	ponder	1	0.54	0.0	0.28
26	accomplishment	1	0.54	0.0	1.0
27	optimism	2	0.53	0.34	0.515
28	brightest	1	0.53	0.0	0.08
29	backs	1	0.53	0.0	0.42
30	hilarious	2	0.5275	0.08250000000000002	0.995
31	consequences	1	0.52	0.0	1.0
32	#funny	1	0.52	0.0	0.12
33	nice	4	0.49749999999999994	0.14271912976192083	0.745
34	fresh	1	0.49	0.0	0.98
35	sorrow	1	0.48	0.0	0.74
36	hogging	1	0.47500000000000003	0.0	0.07
37	recognize	1	0.47	0.0	1.0
38	news	2	0.46499999999999997	0.17500000000000002	0.44999999999999996
39	piercing	1	0.46	0.0	0.89
40	tender	1	0.45	0.0	1.0
41	illuminating	1	0.45	0.0	1.0
42	heights	1	0.45	0.0	0.89
43	building	1	0.45	0.0	0.05
44	basic	1	0.45	0.0	0.48
45	#terrific	1	0.44	0.0	0.97
46	#someday	1	0.435	0.0	0.19
47	#awesome	1	0.435	0.0	1.0
48	flattered	1	0.43000000000000005	0.0	1.0
49	historical	1	0.43	0.0	0.0
50	#laughs	1	0.425	0.0	0.92
51	viewpoint	1	0.42	0.0	1.0
52	verify	1	0.42	0.0	0.38
53	proud	1	0.42	0.0	1.0
54	perfectly	1	0.42	0.0	1.0
55	nominate	1	0.42	0.0	0.63
56	move	2	0.41500000000000004	0.07499999999999998	0.975
57	remains	1	0.41	0.0	1.0
58	gift	1	0.41	0.0	1.0
59	avengers	1	0.405	0.0	0.0
60	excited	3	0.4033333333333334	0.2542090128658349	0.9466666666666667
61	root	1	0.4	0.0	0.44
62	shout	1	0.39	0.0	0.96
63	remarkably	1	0.39	0.0	1.0
64	prayers	1	0.39	0.0	0.74
65	intensity	1	0.39	0.0	1.0
66	appear	1	0.39	0.0	0.11
67	gross	1	0.385	0.0	0.33
68	wonderful	1	0.38	0.0	1.0
69	holiday	1	0.38	0.0	0.94
70	grateful	1	0.38	0.0	1.0
71	anger	1	0.38	0.0	0.14
72	adapting	1	0.38	0.0	1.0
73	89	1	0.38	0.0	0.0
74	filmmaker	1	0.37	0.0	1.0
75	mojo	1	0.36	0.0	0.78
76	knows	1	0.36	0.0	0.01
77	capture	1	0.36	0.0	1.0
78	shocking	2	0.35	0.4	0.405
79	rio	1	0.35	0.0	0.12
80	pulls	1	0.35	0.0	1.0
81	positively	1	0.35	0.0	0.01
82	pearls	1	0.35	0.0	0.02
83	melancholy	1	0.35	0.0	0.18
84	madman	1	0.35	0.0	0.18
85	lovely	2	0.35	0.0	1.0
86	choirs	1	0.35	0.0	1.0
87	emotions	1	0.34500000000000003	0.0	0.85
88	@insanity_lady	1	0.3375	0.0	0.5
89	provides	1	0.33	0.0	1.0
90	93	1	0.33	0.0	0.0
91	strength	1	0.32	0.0	1.0
92	scare	4	0.32	0.4270245894559235	0.405
93	engaging	1	0.32	0.0	1.0
94	absolutely	2	0.32	0.020000000000000018	0.4
95	honestly	1	0.31999999999999995	0.0	1.0
96	#blessed	1	0.31999999999999995	0.0	0.71
97	tantalizes	1	0.3133333333333333	0.0	1.0
98	wow	2	0.3125	0.0775	0.49
99	smart	2	0.31	0.26	0.985
100	novak	1	0.31	0.0	0.96
101	mendez	1	0.31	0.0	1.0
102	journey	2	0.31	0.21	1.0
103	happily	1	0.31	0.0	0.13
104	fine:	1	0.305	0.0	0.9
105	suggest	1	0.3	0.0	0.04
106	needles	1	0.3	0.0	0.89
107	nba	1	0.3	0.0	0.94
108	edges	1	0.3	0.0	0.89
109	compelling	4	0.3	0.2096425529323663	0.75
110	adorable	1	0.3	0.0	0.99
111	happy	10	0.29799999999999993	0.29962643408084005	0.9640000000000001
112	#phoenix	1	0.29000000000000004	0.0	0.12
113	random	1	0.29	0.0	1.0
114	comedian	1	0.29	0.0	0.03
115	#brilliant	1	0.29	0.0	0.99
116	fine	5	0.287	0.42251153830398525	0.5079999999999999
117	how's	2	0.2866666666666667	0.06333333333333334	0.325
118	#hot	1	0.28500000000000003	0.0	0.98
119	wisdom	1	0.28	0.0	0.94
120	singing	1	0.28	0.0	0.97
121	masterpiece	1	0.28	0.0	1.0
122	lite	1	0.28	0.0	1.0
123	wonderfully	1	0.275	0.0	1.0
124	#comfort	2	0.27249999999999996	0.1425	0.9199999999999999
125	variable	1	0.27	0.0	0.08
126	endurance	1	0.27	0.0	0.0
127	button	1	0.27	0.0	0.04
128	amazing	2	0.27	0.010000000000000009	1.0
129	influence	1	0.26999999999999996	0.0	0.89
130	wanted	2	0.2675	0.0475	0.555
131	*actual*	1	0.26333333333333336	0.0	0.08
132	keeps	1	0.26	0.0	1.0
133	gypsy	1	0.26	0.0	0.02
134	enjoyable	1	0.26	0.0	1.0
135	2002	1	0.26	0.0	1.0
136	millennium	1	0.255	0.0	0.38
137	joy	2	0.255	0.23500000000000001	0.495
138	instant	1	0.255	0.0	0.48
139	drillin	1	0.255	0.0	0.12
140	theirs	1	0.25	0.0	0.05
141	speak	1	0.25	0.0	0.98
142	meaningful	1	0.25	0.0	1.0
143	legit	1	0.25	0.0	0.05
144	intriguing	1	0.25	0.0	1.0
145	disrupt	1	0.25	0.0	0.01
146	add	3	0.24666666666666667	0.07542472332656505	0.31333333333333335
147	love	15	0.24566666666666667	0.3695982804192802	0.5226666666666667
148	estan	1	0.245	0.0	0.23
149	actually	2	0.245	0.015	0.035
150	noblest	1	0.24000000000000002	0.0	0.0
151	shy	1	0.24	0.0	0.08
152	shake	2	0.24	0.21	0.035
153	rollback	1	0.24	0.0	0.11
154	residents	1	0.24	0.0	0.48
155	maximum	1	0.24	0.0	0.49
156	departure	1	0.24	0.0	1.0
157	anniversary	1	0.24	0.0	1.0
